# File: A_ExoShutdownScalar.csv,,,,,,,,,,,,,,,,,,,,,
# Title: Scalars for exogenous shutdown decider,,,,,,,,,,,,,,,,,,,,,
# Units: Maximum proportion of vintage that can be deployed,,,,,,,,,,,,,,,,,,,,,
# Column types: cccccinnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,
xml,region,supplysector,subsector,stub.technology,period,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
policy_coalshut_2020_eums_torevise,Latvia,intermediate generation,coal (conv pul)_int,coal (conv pul) (dry cooling),2021,0.963480911,0.963480911,0.963480911,0.963480911,0.963480911,0.963480911,,,,,,,,,,
policy_coalshut_2020_eums_torevise,Lithuania,intermediate generation,coal (conv pul)_int,coal (conv pul) (dry cooling),2021,0.8525,0.8525,0.8525,0.8525,0.8525,0.8525,,,,,,,,,,
policy_coalshut_2020_eums_torevise,Hungary,intermediate generation,coal (conv pul)_int,coal (conv pul) (dry cooling),2021,0.735866255,0.735866255,0.735866255,0.735866255,0.735866255,0.735866255,,,,,,,,,,
policy_coalshut_2020_eums_torevise,Netherlands,intermediate generation,coal (conv pul)_int,coal (conv pul) (dry cooling),2021,0.479142366,0.479142366,0.479142366,0.479142366,0.479142366,0.479142366,,,,,,,,,,
policy_coalshut_2020_eums_torevise,Austria,intermediate generation,coal (conv pul)_int,coal (conv pul) (dry cooling),2021,0.644933829,0.644933829,0.644933829,0.644933829,0.644933829,0.644933829,,,,,,,,,,
policy_coalshut_2020_eums_torevise,Poland,intermediate generation,coal (conv pul)_int,coal (conv pul) (dry cooling),2021,0.982182482,0.982182482,0.982182482,0.982182482,0.982182482,0.982182482,,,,,,,,,,
policy_coalshut_2020_eums_torevise,Portugal,intermediate generation,coal (conv pul)_int,coal (conv pul) (dry cooling),2021,0.419519349,0.419519349,0.419519349,0.419519349,0.419519349,0.419519349,,,,,,,,,,
policy_coalshut_2020_eums_torevise,Romania,intermediate generation,coal (conv pul)_int,coal (conv pul) (dry cooling),2021,0.896881163,0.896881163,0.896881163,0.896881163,0.896881163,0.896881163,,,,,,,,,,
policy_coalshut_2020_eums_torevise,Slovakia,intermediate generation,coal (conv pul)_int,coal (conv pul) (dry cooling),2021,0.845795745,0.845795745,0.845795745,0.845795745,0.845795745,0.845795745,,,,,,,,,,
policy_coalshut_2020_eums_torevise,Finland,intermediate generation,coal (conv pul)_int,coal (conv pul) (dry cooling),2021,0.921754986,0.921754986,0.921754986,0.921754986,0.921754986,0.921754986,,,,,,,,,,
policy_coalshut_2020_eums_torevise,Sweden,intermediate generation,coal (conv pul)_int,coal (conv pul) (dry cooling),2021,0.565384615,0.565384615,0.565384615,0.565384615,0.565384615,0.565384615,,,,,,,,,,
policy_coalshut_2020_eums_torevise,Belgium,intermediate generation,coal (conv pul)_int,coal (conv pul) (once through),2021,0.02174712,0.02174712,0.02174712,0.02174712,0.02174712,0.02174712,,,,,,,,,,
policy_coalshut_2020_eums_torevise,Bulgaria,intermediate generation,coal (conv pul)_int,coal (conv pul) (once through),2021,0.815665735,0.815665735,0.815665735,0.815665735,0.815665735,0.815665735,,,,,,,,,,
