# File: A_energy_constraints.csv,,,,,,,,,,,,,,,,,,,,,
# Title: Policy floors/ceilings for tax/subsidy policies,,,,,,,,,,,,,,,,,,,,,
# Comments: If using GDP intensity base year  in GDPIntensity_BaseYear column (must be historical year); then percent change in year columns,,,,,,,,,,,,,,,,,,,,,
# Units: EJ (fe-constraint),,,,,,,,,,,,,,,,,,,,,
# Column types: ccccicnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,
xml,market,policy.portfolio.standard,policyType,GDPIntensity_BaseYear,tech_mapping,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
policy_tpes_aus,Australia_NZ,energy-constraint,tax,2021,PRIMARY_ENERGY,,-28.6,-28.6,-28.6,-28.6,-28.6,-28.6,-28.6,-28.6,-28.6,-28.6,-28.6,-28.6,-28.6,-28.6,-28.6
policy_greenH2_chn.xml,China,green_H2,subsidy,,GREEN_H2,0.0180315,0.0180315,0.0180315,0.0180315,0.0180315,0.0180315,0.0180315,0.0180315,0.0180315,0.0180315,0.0180315,0.0180315,0.0180315,0.0180315,0.0180315,0.0180315
policy_tpes_chn,China,energy-constraint,tax,2021,PRIMARY_ENERGY,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24
policy_NUC_chn,China,nuclear-target,subsidy,,ELEC_NUCLEAR,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99
policy_fe_eu,EU,fe-constraint,tax,,FE_EED_noDH,37,33.88429127,33.88429127,33.88429127,33.88429127,33.88429127,33.88429127,33.88429127,33.88429127,33.88429127,33.88429127,33.88429127,33.88429127,33.88429127,33.88429127,33.88429127
policy_tpes_eu,EU,energy-constraint,tax,,PRIMARY_ENERGY,,41.57,41.57,41.57,41.57,41.57,41.57,41.57,41.57,41.57,41.57,41.57,41.57,41.57,41.57,41.57
policy_RE_targets_EU,EU,PV-target,subsidy,,ELEC_PV,1.81,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41
policy_RE_targets_EU,EU,offshore-target,subsidy,,ELEC_WIND_OFFSHORE,0.5,0.76,1.515,2.27,3.025,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78
policy_RE_targets_EU,EU,wind-target,subsidy,,ELEC_WIND_ONSHORE,3.3,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47
policy_oilcrop_eu,EU,palmoil-constraint,tax,,PALMOIL_IMP,30,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
