# File: A_renewable_energy_standards.csv,,,,,,,,,,,,,,,,,,,,,,,
# Title: Policy RES coefficients; outputs; and price multipliers,,,,,,,,,,,,,,,,,,,,,,,
# Units: Varied,,,,,,,,,,,,,,,,,,,,,,,
# Comment: policy.portfolio standard is just name of policy; variable can either be 'input-coef' to define the target or 'pMultiplier' to define price multiplier,,,,,,,,,,,,,,,,,,,,,,,
# Comment: tech_mapping defines the technologies with the policy as an input; sec.out is the set of technologies that output the policy,,,,,,,,,,,,,,,,,,,,,,,
# Comment: sec.out.type defines the output ratio for the sec.out technologies; 'standard' is 1; 'electricity' is based on the coefficients (losses); 'fossil.conv' is 1 divided by efficiency,,,,,,,,,,,,,,,,,,,,,,,
# Comment: note the RES input coefficients for heat pump will be multiplied by calculated ambient heat efficiency,,,,,,,,,,,,,,,,,,,,,,,
# Column types: cccccccnnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,,,
xml,market,policy.portfolio.standard,variable,tech_mapping,sec.out,sec.out.type,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
policy_greenH2_eu,EU,green_h2,input-coefficient,H2_ALL,GREEN_H2,standard,,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
policy_biofuel_ind,India,biofuel-target,input-coefficient,REF_LIQ_TRN,BIOFUEL_ALL,standard,0.08,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
policy_biofuel_idn,Indonesia,biofuel-target,input-coefficient,REF_LIQ_TRN,BIOFUEL_NODIESEL,standard,,0.085,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
policy_biofuel_idn,Indonesia,biodiesel-target,input-coefficient,REF_LIQ_TRN,BIODIESEL,standard,0.045,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525
policy_res_idn,Indonesia,RES-target,input-coefficient,ELEC_RES,EN_CARRIER_ELEC,electricity,,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23
policy_res_jpn,Japan,RES-target,input-coefficient,ELEC_RES,EN_CARRIER_ELEC,electricity,0.18,0.275,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37
policy_coal_jpn,Japan,coal-target,input-coefficient,ELEC_RES,ELEC_COAL_NO_CCS,electricity,0.19,0.19,0.19,,,,,,,,,,,,,,
policy_res_mex,Mexico,RES-target,input-coefficient,ELEC_RES,EN_CARRIER_ELEC,electricity,0.25,0.3,0.35,0.4,0.433,0.467,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
policy_res_saudi,Middle East,RES-target,input-coefficient,ELEC_RES,EN_CARRIER_ELEC,electricity,,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
policy_elecresid_rus,Russia,elec_resid,input-coefficient,RESID,RESID_ELEC,standard,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
