# File: A323.inc_elas.csv
# Title: IRONSTL demand income elasticity as a function of per-capita gdp
# Units: pcgdp_90thousUSD: Thousand 1990$; inc_elas:unitless (% change in service demand / % change in income)
# Column types: cnn
# ----------
region,year,inc_elas
Central America and Caribbean,2080,0.225999279
Central America and Caribbean,2085,0.115945972
Central America and Caribbean,2090,0.017092222
Central America and Caribbean,2095,-0.072419595
Central America and Caribbean,2100,-0.153361364
Central Asia,2010,0
Central Asia,2015,-0.294147156
Central Asia,2020,1.912421302
Central Asia,2025,1.800106006
Central Asia,2030,1.259120363
Central Asia,2035,0.966659653
Central Asia,2040,0.736239741
Central Asia,2045,0.519183871
Central Asia,2050,0.284662598
Central Asia,2055,0.103419561
Central Asia,2060,0.016830115
Central Asia,2065,-0.032807254
Central Asia,2070,-0.129646775
Central Asia,2075,-0.264216086
Central Asia,2080,-0.363874541
Central Asia,2085,-0.435649399
Central Asia,2090,-0.482155363
Central Asia,2095,-0.527458004
Central Asia,2100,-0.59662948
China,2010,0
China,2015,0.656518836
China,2020,0.267614271
China,2025,-0.003488991
China,2030,-0.067366448
China,2035,-0.232527321
China,2040,-0.38512443
China,2045,-0.535238288
China,2050,-0.738838378
China,2055,-0.976717167
China,2060,-1.107680644
China,2065,-1.237588999
China,2070,-1.360774874
China,2075,-1.522729969
China,2080,-1.59803321
China,2085,-1.728907491
China,2090,-1.815184237
China,2095,-1.89014919
China,2100,-1.950096055
Colombia,2010,0
Colombia,2015,0.015768327
Colombia,2020,2.753103501
Colombia,2025,3.061988541
Colombia,2030,2.36556486
Colombia,2035,2.032786655
Colombia,2040,1.743479556
Colombia,2045,1.479666122
Colombia,2050,1.238454352
Colombia,2055,1.022982481
Colombia,2060,0.83316348
Colombia,2065,0.660134048
Colombia,2070,0.503394584
Colombia,2075,0.355559732
Colombia,2080,0.221265434
Colombia,2085,0.092943701
Colombia,2090,-0.024193879
Colombia,2095,-0.132269119
Colombia,2100,-0.235396748
Bulgaria,2010,0
Bulgaria,2015,0.244881423
Bulgaria,2020,0.46463818
Bulgaria,2025,0.341981836
Bulgaria,2030,0.162058847
Bulgaria,2035,0.020059611
Bulgaria,2040,-0.117229879
Bulgaria,2045,-0.269275039
Bulgaria,2050,-0.391435224
Bulgaria,2055,-0.489619841
Bulgaria,2060,-0.518434014
Bulgaria,2065,-0.550062422
Bulgaria,2070,-0.623004528
Bulgaria,2075,-0.733387553
Bulgaria,2080,-0.823043911
Bulgaria,2085,-0.892627966
Bulgaria,2090,-0.938951024
Bulgaria,2095,-0.957631755
Bulgaria,2100,-0.971190615
Spain,2010,0
Spain,2015,-2.410228466
Spain,2020,-0.120189916
Spain,2025,-0.31225664
Spain,2030,-0.32036888
Spain,2035,-0.335370494
Spain,2040,-0.332095641
Spain,2045,-0.369465877
Spain,2050,-0.431210192
Spain,2055,-0.474021553
