# File: Rao_multimodel_income_deciles_DIAMOND.csv
# Title: Rao Income Deciles adjustes by DIAMOND HH data and GCAM-Europe regional aggregation
# Units: NA
# Description: Income shares for all GCAM regions
# Column types: nncncc 
# ----------
GCAM_region_ID,year,sce,shares,category,model
5,2015,SSP1,0.0455896083954883,d4,PCA algorithm (Two Components)
24,2015,SSP4,0.0148480916505426,d1,PCA algorithm (Two Components)
24,2015,SSP5,0.0148312610958527,d1,PCA algorithm (Two Components)
24,2015,SSP3,0.0148375536768651,d1,PCA algorithm (Two Components)
24,2015,SSP2,0.0148407215014843,d1,PCA algorithm (Two Components)
21,2015,SSP1,0.0142991981001239,d1,PCA algorithm (Two Components)
4,2015,SSP2,0.0422354839458122,d5,PCA algorithm (Two Components)
21,2015,SSP4,0.0149896564527003,d1,PCA algorithm (Two Components)
4,2015,SSP5,0.0422393991829059,d5,PCA algorithm (Two Components)
4,2015,SSP4,0.0423543221559296,d5,PCA algorithm (Two Components)
4,2015,SSP3,0.0423192919874315,d5,PCA algorithm (Two Components)
21,2015,SSP3,0.0150238696504205,d1,PCA algorithm (Two Components)
4,2015,SSP1,0.0423109469418985,d5,PCA algorithm (Two Components)
21,2015,SSP5,0.0150324290427964,d1,PCA algorithm (Two Components)
21,2015,SSP2,0.0150388557307706,d1,PCA algorithm (Two Components)
2,2015,SSP5,0.0603947425534569,d6,PCA algorithm (Two Components)
2,2015,SSP2,0.0604315327670706,d6,PCA algorithm (Two Components)
2,2015,SSP1,0.060104911676319,d6,PCA algorithm (Two Components)
2,2015,SSP4,0.060565177129705,d6,PCA algorithm (Two Components)
2,2015,SSP3,0.0605276928223656,d6,PCA algorithm (Two Components)
12,2015,SSP5,0.0269395534034645,d2,PCA algorithm (Two Components)
12,2015,SSP3,0.0269395534034645,d2,PCA algorithm (Two Components)
12,2015,SSP4,0.0269395534034645,d2,PCA algorithm (Two Components)
12,2015,SSP2,0.0269395534034645,d2,PCA algorithm (Two Components)
12,2015,SSP1,0.0272072061638482,d2,PCA algorithm (Two Components)
5,2015,SSP1,0.055742270661762,d5,PCA algorithm (Two Components)
5,2015,SSP5,0.0563495800581893,d5,PCA algorithm (Two Components)
5,2015,SSP4,0.0563441082345153,d5,PCA algorithm (Two Components)
5,2015,SSP2,0.0563209933988575,d5,PCA algorithm (Two Components)
5,2015,SSP3,0.0563131852470065,d5,PCA algorithm (Two Components)
13,2015,SSP1,0.0229961261529286,d1,PCA algorithm (Two Components)
19,2015,SSP1,0.0106396056174828,d2,PCA algorithm (Two Components)
4,2015,SSP2,0.055142193005758,d6,PCA algorithm (Two Components)
2,2015,SSP1,0.0759102077946022,d7,PCA algorithm (Two Components)
4,2015,SSP4,0.0552636327065758,d6,PCA algorithm (Two Components)
2,2015,SSP5,0.0764116548930425,d7,PCA algorithm (Two Components)
2,2015,SSP2,0.0764413434518107,d7,PCA algorithm (Two Components)
