# File: nrgbal_to_sector_map.csv
# Title: Mapping from flows in Eurostat energy balances to intermediate sector names
# Units: NA
# Source: Eurostat (Complete energy balance downloaded December 2023 from https://ec.europa.eu/eurostat/data/database; definitions at https://ec.europa.eu/eurostat/documents/38154/4956218/ENERGY-BALANCE-GUIDE.pdf/de76d0d2-8b17-b47c-f6f5-415bd09b7750?t=1632139948586)
# Column types: ccc
# ----------
nrg_bal,sector_EUROSTAT,sector
AFC,Available for final consumption,
FC_NE,Final non-energy consumption,
FC_E,Final energy consumption,
GEP_MAPE,Main activity producer electricity only,out_electricity generation
GEP_MAPCHP,Main activity producer CHP,out_electricity generation
GEP_APE,Autoproducer electricity only,out_electricity generation
GEP_APCHP,Autoproducer CHP ,out_chp_elec
GHP_MAPCHP,Main activity producer CHP,out_industry_chp
GHP_MAPH,Main activity producer heat only,out_electricity_heat
GHP_APCHP,Autoproducer CHP ,out_industry_chp
GHP_APH,Autoproducer heat only,out_heat
GIC,Gross inland consumption,
FC_IND_E*,Industry* ,
STATDIFF,Statistical differences,
GEP,Gross electricity production,
GHP,Gross heat production,
FEC2020-2030,Final energy consumption (Europe 2020-2030),
GIC2020-2030,Gross inland consumption (Europe 2020-2030),
PEC2020-2030,Primary energy consumption (Europe 2020-2030),
