# File: IO_IRONSTL_scaled.csv
# Title: IO in Steel production by subsector by technology
# Units: GJ/t
# Description: Energy coefficient in steel production
# Source: Literature
# Column types: cicccicn
# ----------
region,GCAM_region_ID,sector.name,subsector.name,technology,year,minicam.energy.input,coefficient
Africa_Western,5,iron and steel,EAF with DRI,EAF with DRI,2010,elect_td_ind,0.00347849
Africa_Western,5,iron and steel,EAF with DRI,EAF with DRI,2010,wholesale gas,0.027368451
Africa_Western,5,iron and steel,EAF with DRI,EAF with DRI CCS,2010,delivered coal,0
Africa_Western,5,iron and steel,EAF with DRI,EAF with DRI CCS,2010,refined liquids industrial,0
Africa_Western,5,iron and steel,EAF with DRI,EAF with DRI CCS,2010,elect_td_ind,0.00347849
Africa_Western,5,iron and steel,EAF with DRI,EAF with DRI CCS,2010,wholesale gas,0.027368451
Africa_Western,5,iron and steel,EAF with DRI,Hydrogen-based DRI,2010,H2 enduse,0
Africa_Western,5,iron and steel,EAF with DRI,Hydrogen-based DRI,2010,elect_td_ind,0.00347849
Africa_Western,5,iron and steel,EAF with scrap,EAF with scrap,2010,refined liquids industrial,0
Africa_Western,5,iron and steel,EAF with scrap,EAF with scrap,2010,elect_td_ind,0.002550893
Africa_Western,5,iron and steel,EAF with scrap,EAF with scrap,2010,scrap,1.1
Argentina,31,iron and steel,BLASTFUR,BLASTFUR,2010,delivered coal,0.003290561
Argentina,31,iron and steel,BLASTFUR,BLASTFUR,2010,refined liquids industrial,0.006970806
Argentina,31,iron and steel,BLASTFUR,BLASTFUR,2010,elect_td_ind,0
Argentina,31,iron and steel,BLASTFUR,BLASTFUR,2010,wholesale gas,0.003565373
Argentina,31,iron and steel,BLASTFUR,BLASTFUR CCS,2010,delivered coal,0.003290561
Argentina,31,iron and steel,BLASTFUR,BLASTFUR CCS,2010,refined liquids industrial,0.006970806
Argentina,31,iron and steel,BLASTFUR,BLASTFUR CCS,2010,elect_td_ind,0
Argentina,31,iron and steel,BLASTFUR,BLASTFUR CCS,2010,wholesale gas,0.003565373
Argentina,31,iron and steel,BLASTFUR,Biomass-based,2010,delivered biomass,
Argentina,31,iron and steel,BLASTFUR,Biomass-based,2010,refined liquids industrial,0.006970806
Argentina,31,iron and steel,BLASTFUR,Biomass-based,2010,elect_td_ind,0
Argentina,31,iron and steel,BLASTFUR,Biomass-based,2010,wholesale gas,0.003565373
Argentina,31,iron and steel,EAF with DRI,EAF with DRI,2010,delivered coal,1.74E-04
Argentina,31,iron and steel,EAF with DRI,EAF with DRI,2010,refined liquids industrial,0.002987488
Argentina,31,iron and steel,EAF with DRI,EAF with DRI,2010,elect_td_ind,0
Argentina,31,iron and steel,EAF with DRI,EAF with DRI,2010,wholesale gas,0.01935488
Argentina,31,iron and steel,EAF with DRI,EAF with DRI CCS,2010,delivered coal,1.74E-04
Argentina,31,iron and steel,EAF with DRI,EAF with DRI CCS,2010,refined liquids industrial,0.002987488
Argentina,31,iron and steel,EAF with DRI,EAF with DRI CCS,2010,elect_td_ind,0
Argentina,31,iron and steel,EAF with DRI,EAF with DRI CCS,2010,wholesale gas,0.01935488
Argentina,31,iron and steel,EAF with DRI,Hydrogen-based DRI,2010,H2 enduse,0
Argentina,31,iron and steel,EAF with DRI,Hydrogen-based DRI,2010,elect_td_ind,0
Argentina,31,iron and steel,EAF with scrap,EAF with scrap,2010,refined liquids industrial,0.001991659
Argentina,31,iron and steel,EAF with scrap,EAF with scrap,2010,elect_td_ind,0
Argentina,31,iron and steel,EAF with scrap,EAF with scrap,2010,scrap,1.1
Australia_NZ,6,iron and steel,BLASTFUR,BLASTFUR,2010,delivered coal,0.022894159
Australia_NZ,6,iron and steel,BLASTFUR,BLASTFUR,2010,refined liquids industrial,0.000134884
Australia_NZ,6,iron and steel,BLASTFUR,BLASTFUR,2010,elect_td_ind,0.001707631
Australia_NZ,6,iron and steel,BLASTFUR,BLASTFUR,2010,wholesale gas,0.001525722
Australia_NZ,6,iron and steel,BLASTFUR,BLASTFUR CCS,2010,delivered coal,0.022894159
Australia_NZ,6,iron and steel,BLASTFUR,BLASTFUR CCS,2010,refined liquids industrial,0.000134884
Australia_NZ,6,iron and steel,BLASTFUR,BLASTFUR CCS,2010,elect_td_ind,0.001707631
Australia_NZ,6,iron and steel,BLASTFUR,BLASTFUR CCS,2010,wholesale gas,0.001525722
Australia_NZ,6,iron and steel,BLASTFUR,Biomass-based,2010,delivered biomass,
Australia_NZ,6,iron and steel,BLASTFUR,Biomass-based,2010,refined liquids industrial,0.000134884
Australia_NZ,6,iron and steel,BLASTFUR,Biomass-based,2010,elect_td_ind,0.001707631
Australia_NZ,6,iron and steel,BLASTFUR,Biomass-based,2010,wholesale gas,0.001525722
Australia_NZ,6,iron and steel,EAF with DRI,EAF with DRI,2010,delivered coal,0.001212692
Australia_NZ,6,iron and steel,EAF with DRI,EAF with DRI,2010,refined liquids industrial,5.78E-05
Australia_NZ,6,iron and steel,EAF with DRI,EAF with DRI,2010,elect_td_ind,0.005227442
Australia_NZ,6,iron and steel,EAF with DRI,EAF with DRI,2010,wholesale gas,0.00828249
Australia_NZ,6,iron and steel,EAF with DRI,EAF with DRI CCS,2010,delivered coal,0.001212692
Australia_NZ,6,iron and steel,EAF with DRI,EAF with DRI CCS,2010,refined liquids industrial,5.78E-05
Australia_NZ,6,iron and steel,EAF with DRI,EAF with DRI CCS,2010,elect_td_ind,0.005227442
Australia_NZ,6,iron and steel,EAF with DRI,EAF with DRI CCS,2010,wholesale gas,0.00828249
Australia_NZ,6,iron and steel,EAF with DRI,Hydrogen-based DRI,2010,H2 enduse,0
Australia_NZ,6,iron and steel,EAF with DRI,Hydrogen-based DRI,2010,elect_td_ind,0.005227442
Australia_NZ,6,iron and steel,EAF with scrap,EAF with scrap,2010,refined liquids industrial,3.85E-05
Australia_NZ,6,iron and steel,EAF with scrap,EAF with scrap,2010,elect_td_ind,0.003833457
Australia_NZ,6,iron and steel,EAF with scrap,EAF with scrap,2010,scrap,1.1
Brazil,7,iron and steel,BLASTFUR,BLASTFUR,2010,delivered coal,0.015222387
Brazil,7,iron and steel,BLASTFUR,BLASTFUR,2010,refined liquids industrial,0.001631027
Brazil,7,iron and steel,BLASTFUR,BLASTFUR,2010,elect_td_ind,0.00206222
Brazil,7,iron and steel,BLASTFUR,BLASTFUR,2010,wholesale gas,0.000620655
Brazil,7,iron and steel,BLASTFUR,BLASTFUR CCS,2010,delivered coal,0.015222387
Brazil,7,iron and steel,BLASTFUR,BLASTFUR CCS,2010,refined liquids industrial,0.001631027
Brazil,7,iron and steel,BLASTFUR,BLASTFUR CCS,2010,elect_td_ind,0.00206222
Brazil,7,iron and steel,BLASTFUR,BLASTFUR CCS,2010,wholesale gas,0.000620655
Brazil,7,iron and steel,BLASTFUR,Biomass-based,2010,delivered biomass,
Brazil,7,iron and steel,BLASTFUR,Biomass-based,2010,refined liquids industrial,0.001631027
Brazil,7,iron and steel,BLASTFUR,Biomass-based,2010,elect_td_ind,0.00206222
Brazil,7,iron and steel,BLASTFUR,Biomass-based,2010,wholesale gas,0.000620655
Brazil,7,iron and steel,EAF with DRI,EAF with DRI,2010,delivered coal,0.000806322
Brazil,7,iron and steel,EAF with DRI,EAF with DRI,2010,refined liquids industrial,0.000699011
Brazil,7,iron and steel,EAF with DRI,EAF with DRI,2010,elect_td_ind,0.00631292
Brazil,7,iron and steel,EAF with DRI,EAF with DRI,2010,wholesale gas,0.00336927
Brazil,7,iron and steel,EAF with DRI,EAF with DRI CCS,2010,delivered coal,0.000806322
Brazil,7,iron and steel,EAF with DRI,EAF with DRI CCS,2010,refined liquids industrial,0.000699011
Brazil,7,iron and steel,EAF with DRI,EAF with DRI CCS,2010,elect_td_ind,0.00631292
Brazil,7,iron and steel,EAF with DRI,EAF with DRI CCS,2010,wholesale gas,0.00336927
Brazil,7,iron and steel,EAF with DRI,Hydrogen-based DRI,2010,H2 enduse,0
Brazil,7,iron and steel,EAF with DRI,Hydrogen-based DRI,2010,elect_td_ind,0.00631292
Brazil,7,iron and steel,EAF with scrap,EAF with scrap,2010,refined liquids industrial,0.000466008
Brazil,7,iron and steel,EAF with scrap,EAF with scrap,2010,elect_td_ind,0.004629474
Brazil,7,iron and steel,EAF with scrap,EAF with scrap,2010,scrap,1.1
Canada,8,iron and steel,BLASTFUR,BLASTFUR,2010,delivered coal,0.015582117
Canada,8,iron and steel,BLASTFUR,BLASTFUR,2010,refined liquids industrial,0
Canada,8,iron and steel,BLASTFUR,BLASTFUR,2010,elect_td_ind,0.001519831
Canada,8,iron and steel,BLASTFUR,BLASTFUR,2010,wholesale gas,0.004352487
Canada,8,iron and steel,BLASTFUR,BLASTFUR CCS,2010,delivered coal,0.015582117
Canada,8,iron and steel,BLASTFUR,BLASTFUR CCS,2010,refined liquids industrial,0
Canada,8,iron and steel,BLASTFUR,BLASTFUR CCS,2010,elect_td_ind,0.001519831
Canada,8,iron and steel,BLASTFUR,BLASTFUR CCS,2010,wholesale gas,0.004352487
Canada,8,iron and steel,BLASTFUR,Biomass-based,2010,delivered biomass,
Canada,8,iron and steel,BLASTFUR,Biomass-based,2010,refined liquids industrial,0
Canada,8,iron and steel,BLASTFUR,Biomass-based,2010,elect_td_ind,0.001519831
Canada,8,iron and steel,BLASTFUR,Biomass-based,2010,wholesale gas,0.004352487
Canada,8,iron and steel,EAF with DRI,EAF with DRI,2010,delivered coal,0.000825377
Canada,8,iron and steel,EAF with DRI,EAF with DRI,2010,refined liquids industrial,0
Canada,8,iron and steel,EAF with DRI,EAF with DRI,2010,elect_td_ind,0.004652544
Canada,8,iron and steel,EAF with DRI,EAF with DRI,2010,wholesale gas,0.023627789
Canada,8,iron and steel,EAF with DRI,EAF with DRI CCS,2010,delivered coal,0.000825377
Canada,8,iron and steel,EAF with DRI,EAF with DRI CCS,2010,refined liquids industrial,0
Canada,8,iron and steel,EAF with DRI,EAF with DRI CCS,2010,elect_td_ind,0.004652544
Canada,8,iron and steel,EAF with DRI,EAF with DRI CCS,2010,wholesale gas,0.023627789
Canada,8,iron and steel,EAF with DRI,Hydrogen-based DRI,2010,H2 enduse,0
Canada,8,iron and steel,EAF with DRI,Hydrogen-based DRI,2010,elect_td_ind,0.004652544
Canada,8,iron and steel,EAF with scrap,EAF with scrap,2010,refined liquids industrial,0
Canada,8,iron and steel,EAF with scrap,EAF with scrap,2010,elect_td_ind,0.003411866
Canada,8,iron and steel,EAF with scrap,EAF with scrap,2010,scrap,1.1
Central America and Caribbean,9,iron and steel,BLASTFUR,BLASTFUR,2010,delivered coal,0.059663787
Central America and Caribbean,9,iron and steel,BLASTFUR,BLASTFUR,2010,refined liquids industrial,0
Central America and Caribbean,9,iron and steel,BLASTFUR,BLASTFUR,2010,elect_td_ind,0
Central America and Caribbean,9,iron and steel,BLASTFUR,BLASTFUR,2010,wholesale gas,0.00768476
Central America and Caribbean,9,iron and steel,BLASTFUR,BLASTFUR CCS,2010,delivered coal,0.059663787
Central America and Caribbean,9,iron and steel,BLASTFUR,BLASTFUR CCS,2010,refined liquids industrial,0
Central America and Caribbean,9,iron and steel,BLASTFUR,BLASTFUR CCS,2010,elect_td_ind,0
Central America and Caribbean,9,iron and steel,BLASTFUR,BLASTFUR CCS,2010,wholesale gas,0.00768476
Central America and Caribbean,9,iron and steel,BLASTFUR,Biomass-based,2010,delivered biomass,
Central America and Caribbean,9,iron and steel,BLASTFUR,Biomass-based,2010,refined liquids industrial,0
Central America and Caribbean,9,iron and steel,BLASTFUR,Biomass-based,2010,elect_td_ind,0
Central America and Caribbean,9,iron and steel,BLASTFUR,Biomass-based,2010,wholesale gas,0.00768476
Central America and Caribbean,9,iron and steel,EAF with DRI,EAF with DRI,2010,delivered coal,0.003160361
Central America and Caribbean,9,iron and steel,EAF with DRI,EAF with DRI,2010,refined liquids industrial,0
Central America and Caribbean,9,iron and steel,EAF with DRI,EAF with DRI,2010,elect_td_ind,0
Central America and Caribbean,9,iron and steel,EAF with DRI,EAF with DRI,2010,wholesale gas,0.041717268
Central America and Caribbean,9,iron and steel,EAF with DRI,EAF with DRI CCS,2010,delivered coal,0.003160361
Central America and Caribbean,9,iron and steel,EAF with DRI,EAF with DRI CCS,2010,refined liquids industrial,0
Central America and Caribbean,9,iron and steel,EAF with DRI,EAF with DRI CCS,2010,elect_td_ind,0
Central America and Caribbean,9,iron and steel,EAF with DRI,EAF with DRI CCS,2010,wholesale gas,0.041717268
Central America and Caribbean,9,iron and steel,EAF with DRI,Hydrogen-based DRI,2010,H2 enduse,0
Central America and Caribbean,9,iron and steel,EAF with DRI,Hydrogen-based DRI,2010,elect_td_ind,0
Central America and Caribbean,9,iron and steel,EAF with scrap,EAF with scrap,2010,refined liquids industrial,0
Central America and Caribbean,9,iron and steel,EAF with scrap,EAF with scrap,2010,elect_td_ind,0
Central America and Caribbean,9,iron and steel,EAF with scrap,EAF with scrap,2010,scrap,1.1
Central Asia,10,iron and steel,BLASTFUR,BLASTFUR,2010,delivered coal,0.065671743
Central Asia,10,iron and steel,BLASTFUR,BLASTFUR,2010,refined liquids industrial,0.008076531
Central Asia,10,iron and steel,BLASTFUR,BLASTFUR,2010,elect_td_ind,0.011903897
Central Asia,10,iron and steel,BLASTFUR,BLASTFUR,2010,wholesale gas,0.001399097
Central Asia,10,iron and steel,BLASTFUR,BLASTFUR CCS,2010,delivered coal,0.065671743
Central Asia,10,iron and steel,BLASTFUR,BLASTFUR CCS,2010,refined liquids industrial,0.008076531
Central Asia,10,iron and steel,BLASTFUR,BLASTFUR CCS,2010,elect_td_ind,0.011903897
Central Asia,10,iron and steel,BLASTFUR,BLASTFUR CCS,2010,wholesale gas,0.001399097
Central Asia,10,iron and steel,BLASTFUR,Biomass-based,2010,delivered biomass,
Central Asia,10,iron and steel,BLASTFUR,Biomass-based,2010,refined liquids industrial,0.008076531
Central Asia,10,iron and steel,BLASTFUR,Biomass-based,2010,elect_td_ind,0.011903897
Central Asia,10,iron and steel,BLASTFUR,Biomass-based,2010,wholesale gas,0.001399097
Central Asia,10,iron and steel,EAF with DRI,EAF with DRI,2010,delivered coal,0.0034786
Central Asia,10,iron and steel,EAF with DRI,EAF with DRI,2010,refined liquids industrial,0.003461371
Central Asia,10,iron and steel,EAF with DRI,EAF with DRI,2010,elect_td_ind,0.036440501
Central Asia,10,iron and steel,EAF with DRI,EAF with DRI,2010,wholesale gas,0.007595098
Central Asia,10,iron and steel,EAF with DRI,EAF with DRI CCS,2010,delivered coal,0.0034786
Central Asia,10,iron and steel,EAF with DRI,EAF with DRI CCS,2010,refined liquids industrial,0.003461371
Central Asia,10,iron and steel,EAF with DRI,EAF with DRI CCS,2010,elect_td_ind,0.036440501
Central Asia,10,iron and steel,EAF with DRI,EAF with DRI CCS,2010,wholesale gas,0.007595098
Central Asia,10,iron and steel,EAF with DRI,Hydrogen-based DRI,2010,H2 enduse,0
Central Asia,10,iron and steel,EAF with DRI,Hydrogen-based DRI,2010,elect_td_ind,0.036440501
Central Asia,10,iron and steel,EAF with scrap,EAF with scrap,2010,refined liquids industrial,0.00230758
Central Asia,10,iron and steel,EAF with scrap,EAF with scrap,2010,elect_td_ind,0.026723034
Central Asia,10,iron and steel,EAF with scrap,EAF with scrap,2010,scrap,1.1
China,11,iron and steel,BLASTFUR,BLASTFUR,2010,delivered coal,0.023464971
China,11,iron and steel,BLASTFUR,BLASTFUR,2010,refined liquids industrial,0.000122184
China,11,iron and steel,BLASTFUR,BLASTFUR,2010,elect_td_ind,0.00229346
China,11,iron and steel,BLASTFUR,BLASTFUR,2010,wholesale gas,1.26E-04
China,11,iron and steel,BLASTFUR,BLASTFUR CCS,2010,delivered coal,0.023464971
China,11,iron and steel,BLASTFUR,BLASTFUR CCS,2010,refined liquids industrial,0.000122184
China,11,iron and steel,BLASTFUR,BLASTFUR CCS,2010,elect_td_ind,0.00229346
China,11,iron and steel,BLASTFUR,BLASTFUR CCS,2010,wholesale gas,1.26E-04
China,11,iron and steel,BLASTFUR,Biomass-based,2010,delivered biomass,
China,11,iron and steel,BLASTFUR,Biomass-based,2010,refined liquids industrial,0.000122184
China,11,iron and steel,BLASTFUR,Biomass-based,2010,elect_td_ind,0.00229346
China,11,iron and steel,BLASTFUR,Biomass-based,2010,wholesale gas,1.26E-04
China,11,iron and steel,EAF with DRI,EAF with DRI,2010,delivered coal,0.001242928
China,11,iron and steel,EAF with DRI,EAF with DRI,2010,refined liquids industrial,5.24E-05
China,11,iron and steel,EAF with DRI,EAF with DRI,2010,elect_td_ind,0.007020795
China,11,iron and steel,EAF with DRI,EAF with DRI,2010,wholesale gas,6.84E-04
China,11,iron and steel,EAF with DRI,EAF with DRI CCS,2010,delivered coal,0.001242928
China,11,iron and steel,EAF with DRI,EAF with DRI CCS,2010,refined liquids industrial,5.24E-05
China,11,iron and steel,EAF with DRI,EAF with DRI CCS,2010,elect_td_ind,0.007020795
China,11,iron and steel,EAF with DRI,EAF with DRI CCS,2010,wholesale gas,6.84E-04
China,11,iron and steel,EAF with DRI,Hydrogen-based DRI,2010,H2 enduse,0
China,11,iron and steel,EAF with DRI,Hydrogen-based DRI,2010,elect_td_ind,0.007020795
China,11,iron and steel,EAF with scrap,EAF with scrap,2010,refined liquids industrial,3.49E-05
China,11,iron and steel,EAF with scrap,EAF with scrap,2010,elect_td_ind,0.005148583
China,11,iron and steel,EAF with scrap,EAF with scrap,2010,scrap,1.1
Colombia,32,iron and steel,BLASTFUR,BLASTFUR,2010,delivered coal,0.110362433
Colombia,32,iron and steel,BLASTFUR,BLASTFUR,2010,refined liquids industrial,0.002981182
Colombia,32,iron and steel,BLASTFUR,BLASTFUR,2010,elect_td_ind,0.003388073
Colombia,32,iron and steel,BLASTFUR,BLASTFUR,2010,wholesale gas,0.000574682
Colombia,32,iron and steel,BLASTFUR,BLASTFUR CCS,2010,delivered coal,0.110362433
Colombia,32,iron and steel,BLASTFUR,BLASTFUR CCS,2010,refined liquids industrial,0.002981182
Colombia,32,iron and steel,BLASTFUR,BLASTFUR CCS,2010,elect_td_ind,0.003388073
Colombia,32,iron and steel,BLASTFUR,BLASTFUR CCS,2010,wholesale gas,0.000574682
Colombia,32,iron and steel,BLASTFUR,Biomass-based,2010,delivered biomass,
Colombia,32,iron and steel,BLASTFUR,Biomass-based,2010,refined liquids industrial,0.002981182
Colombia,32,iron and steel,BLASTFUR,Biomass-based,2010,elect_td_ind,0.003388073
Colombia,32,iron and steel,BLASTFUR,Biomass-based,2010,wholesale gas,0.000574682
Colombia,32,iron and steel,EAF with DRI,EAF with DRI,2010,delivered coal,0.005845843
Colombia,32,iron and steel,EAF with DRI,EAF with DRI,2010,refined liquids industrial,0.00127765
Colombia,32,iron and steel,EAF with DRI,EAF with DRI,2010,elect_td_ind,0.010371651
