# File: A44.CalPrice_bld.csv
# Title: Prices by sector in the base years. Used to calibrate satiation impedance
# Units: 1975$/unit
# Source: GCAM v7.1 2015-output
# Column types: ccnnnn
# ----------
region,market,1990,2005,2010,2015
Central Asia,resid heating TradBio,2.1981,2.12313,2.12299,2.14702
Central Asia,resid heating coal,2.45554,2.263,2.51088,2.60103
Central Asia,resid heating modern,5.62909,5.8626,6.8209,6.89719
Central Asia,resid others TradBio,2.5416,2.46663,2.46649,2.49052
Central Asia,resid others coal,4.0259,3.78523,4.09508,4.20777
Central Asia,resid others modern,11.8176,11.5207,13.3778,14.4477
China,comm cooling,8.6713,7.7687,7.38767,7.15244
China,comm heating,4.07906,5.01185,6.6729,6.94313
China,comm others,10.4112,13.4558,14.3502,14.5517
China,resid cooling modern,12.9834,12.0465,11.651,11.4068
China,resid heating TradBio,2.55074,2.34488,2.16547,2.03568
China,resid heating coal,2.51848,2.29747,2.53945,2.6192
China,resid heating modern,5.66483,6.50803,7.92091,7.66165
China,resid others TradBio,2.89424,2.68838,2.50897,2.37918
China,resid others coal,4.10457,3.82832,4.13079,4.23047
China,resid others modern,14.737,15.1009,15.7589,15.5712
Colombia,comm cooling,8.06507,7.07074,7.65667,7.79207
Colombia,comm heating,8.20615,9.21674,11.3292,10.8473
Colombia,comm others,15.1139,14.3376,16.1212,15.5872
Colombia,resid cooling modern,12.3529,11.2846,11.8688,11.8735
Colombia,resid heating TradBio,2.28559,1.97435,1.98425,2.1099
Colombia,resid heating modern,8.38132,7.8008,10.2877,11.5893
Colombia,resid others TradBio,2.62909,2.31785,2.32775,2.4534
Colombia,resid others coal,3.88378,3.67746,3.98264,4.10336
Colombia,resid others modern,15.5653,13.0403,15.3822,15.7619
India,comm cooling,9.89621,9.10155,9.02409,8.57453
India,comm heating,21.1458,20.3462,14.227,12.9711
India,comm others,10.947,14.1107,15.0467,16.3208
India,resid cooling modern,14.2549,13.43,13.3496,12.883
India,resid heating TradBio,2.5765,2.51099,2.4887,2.37201
India,resid heating modern,9.65273,9.54204,9.74307,10.2281
India,resid others TradBio,2.92,2.85449,2.8322,2.71551
India,resid others coal,4.2352,3.99754,4.38153,4.50176
India,resid others modern,14.7667,15.6008,19.2871,19.3597
Indonesia,comm cooling,8.94139,7.89001,8.54154,7.67806
Indonesia,comm others,13.3833,13.8254,18.2069,17.1621
Indonesia,resid cooling modern,13.2638,12.1724,12.8487,11.9524
Indonesia,resid others TradBio,2.69651,2.69047,2.64382,2.63524
Indonesia,resid others coal,0,3.79404,4.10378,0
Indonesia,resid others modern,11.8128,12.4276,17.4167,17.3401
Japan,comm cooling,6.99361,6.5627,6.78205,6.58602
Japan,comm heating,6.37155,6.70451,8.77109,8.94209
Japan,comm others,12.014,12.3526,13.9957,13.7701
Japan,resid cooling modern,11.2419,10.7946,11.0223,10.8188
Japan,resid heating modern,6.97861,7.25602,9.68624,9.96737
Japan,resid others coal,3.93569,3.79744,0,0
Japan,resid others modern,12.5603,12.417,13.8868,13.6538
