# File: estat_nrg_ind_ahbtc_filtered_en.csv
# Title: Heat pumps - ambient heat captured by technology and climate
# Units: GWh
# Source: https://ec.europa.eu/eurostat/databrowser/view/nrg_ind_ahbtc__custom_14839308/default/table?lang=en
# Column types: ccccccnnc 
# ----------
STRUCTURE,STRUCTURE_ID,freq,hp_tech,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BE,2019,91.148,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BE,2020,91.814,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BE,2021,112.684,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BE,2022,90.241,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BE,2023,102.284,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BG,2004,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BG,2005,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BG,2006,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BG,2007,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BG,2008,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BG,2009,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BG,2010,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BG,2011,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BG,2012,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BG,2013,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BG,2014,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BG,2015,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BG,2016,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BG,2017,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BG,2018,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BG,2019,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BG,2020,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BG,2021,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BG,2022,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BG,2023,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CY,2004,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CY,2005,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CY,2006,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CY,2007,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CY,2008,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CY,2009,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CY,2010,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CY,2011,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CY,2012,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CY,2013,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CY,2014,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CY,2015,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CY,2016,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CY,2017,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CY,2018,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CY,2019,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CY,2020,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CY,2021,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CY,2022,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CY,2023,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CZ,2004,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CZ,2005,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CZ,2006,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CZ,2007,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CZ,2008,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CZ,2009,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CZ,2010,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CZ,2011,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CZ,2012,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CZ,2013,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CZ,2014,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CZ,2015,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CZ,2016,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CZ,2017,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CZ,2018,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CZ,2019,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CZ,2020,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,CZ,2021,0,
