# File: NREL_capital_offshore_EUR.csv,,,,,,,,,,,,,,,,,,,,,,
# Title: Extrapolated NREL_ATB_capital_2022 data with asymptotic exponential decay ,,,,,,,,,,,,,,,,,,,,,,
# Units: 1975 $/ kW,,,,,,,,,,,,,,,,,,,,,,
# Source: NREL 2022 Annual Technology Baseline for 2020-2050 (https://data.openei.org/submissions/4129),,,,,,,,,,,,,,,,,,,,,,
# Column types: cnnnnnnnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,,
intermittent.technology,1975,1990,2005,2010,2015,2021,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
wind_offshore_fixed,2335.63366,2335.63366,2335.63366,2335.63366,2335.63366,2259.82,1971.15,1811.88,1713.42,1641.97,1585.85,1539.64,1533.394,1520.636,1512.369,1507.012,1503.541,1501.292,1499.835,1498.89,1498.279,1497.882
wind_offshore_floating,3557.08366,3557.08366,3557.08366,3557.08366,3557.08366,3481.27,3052.33,2815.67,2669.37,2563.19,2479.81,2431.112,2401.853,2382.894,2370.609,2362.649,2357.491,2354.149,2351.983,2350.58,2349.67,2349.081
