# File: estat_ilc_hcmh02_filtered_en.csv
# Title: Average size of dwelling by household type and degree of urbanisation
# Units: square meter
# Source: https://ec.europa.eu/eurostat/databrowser/view/ilc_hcmh02/default/table?lang=en&category=livcon.ilc.ilc_ahm.ilc_hcm
# Column types: cccccccnnc 
# ----------
STRUCTURE,STRUCTURE_ID,freq,unit,deg_urb,hhtyp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,EL,2012,85.5,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,ES,2012,98.8,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,EU,2012,100.5,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,EU27_2007,2012,100.7,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,EU27_2020,2012,96.1,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,EU28,2012,100.5,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,FI,2012,96.2,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,FR,2012,101.9,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,HR,2012,76.3,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,HU,2012,76.2,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,IE,2012,,u
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,IS,2012,137.8,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,IT,2012,94.5,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,LT,2012,66.2,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,LU,2012,140.2,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,LV,2012,62.6,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,MT,2012,,u
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,NL,2012,117.0,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,NO,2012,133.5,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,PL,2012,69.5,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,PT,2012,100.3,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,RO,2012,43.1,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,SE,2012,111.4,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,SI,2012,79.2,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,SK,2012,85.2,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,UK,2012,,u
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,AT,2012,120.6,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,BE,2012,143.4,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,BG,2012,77.1,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,CH,2012,134.1,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,CY,2012,171.7,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,CZ,2012,88.7,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,DE,2012,118.4,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,DK,2012,149.1,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,EA,2012,111.2,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,EA18,2012,111.0,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,EA19,2012,110.6,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,EE,2012,78.9,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,EL,2012,99.4,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,ES,2012,103.6,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,EU,2012,110.2,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,EU27_2007,2012,110.4,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,EU27_2020,2012,103.1,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,EU28,2012,110.2,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,FI,2012,119.9,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,FR,2012,106.5,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,HR,2012,92.2,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,HU,2012,84.4,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,IE,2012,,u
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,IS,2012,152.5,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,IT,2012,101.2,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,LT,2012,70.1,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,LU,2012,149.5,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,LV,2012,70.9,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,MT,2012,,u
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,NL,2012,126.0,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,NO,2012,156.9,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,PL,2012,87.6,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,PT,2012,118.8,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,RO,2012,47.8,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,SE,2012,125.7,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,SI,2012,93.4,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,SK,2012,94.5,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_DCH,UK,2012,,u
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,AT,2012,91.5,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,BE,2012,115.6,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,BG,2012,70.7,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,CH,2012,110.3,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,CY,2012,122.3,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,HH_NDCH,CZ,2012,72.7,
