# File: A44.CalPrice_bld_EUR.csv
# Title: Prices by sector in the base years. Used to calibrate satiation impedance
# Units: 1975$/unit
# Source: GCAM v7.1 2015-output
# Column types: ccnnnnn
# ----------
region,market,1990,2005,2010,2015,2021
Norway,resid cooling modern EUR,17.2181,16.2472,15.5903,15.6543,15.1107
Norway,resid heating coal EUR,3.6429,3.3517,0,0,0
Norway,resid heating modern EUR,19.9749,20.1874,19.8863,21.4148,20.465
Norway,resid hot water coal EUR,3.19935,2.78002,0,0,0
Norway,resid hot water modern EUR,30.3663,29.7177,28.2496,29.1328,28.0236
Norway,resid other appliance modern EUR,29.9207,29.312,28.0821,28.9249,28.064
Norway,resid others coal EUR,4.37114,3.84698,0,0,0
Norway,resid others modern EUR,30.8052,29.3697,27.898,28.4644,27.3306
Poland,resid cooking coal EUR,2.99303,2.73774,3.61419,3.23567,3.37563
Poland,resid cooking modern EUR,13.3935,11.9749,14.9425,15.3464,12.1014
Poland,resid cooling modern EUR,15.5802,15.6088,17.2972,17.2806,15.7687
Poland,resid heating coal EUR,3.65622,3.47893,4.08758,3.82472,3.92191
Poland,resid heating modern EUR,6.12905,6.0908,7.015,6.93513,6.55303
Poland,resid hot water coal EUR,3.21853,2.96324,3.83969,3.46117,3.60113
Poland,resid hot water modern EUR,7.50253,7.5315,8.78067,8.78772,7.95207
Poland,resid other appliance modern EUR,31.0496,30.1572,31.6523,30.2,27.8946
Poland,resid others coal EUR,0,0,0,0,0
Poland,resid others modern EUR,31.9568,30.2065,31.3977,29.7019,27.1682
Portugal,resid cooking coal EUR,3.02934,0,0,0,0
Portugal,resid cooking modern EUR,13.6375,14.7502,17.3668,18.6124,17.4879
Portugal,resid cooling modern EUR,15.9871,13.712,14.0956,14.4226,13.7269
Portugal,resid heating coal EUR,3.68143,0,0,0,0
Portugal,resid heating modern EUR,7.25638,7.53687,8.93864,9.28222,9.28395
Portugal,resid hot water coal EUR,3.25484,0,0,0,0
Portugal,resid hot water modern EUR,9.29708,8.90761,10.4692,10.5107,9.61773
Portugal,resid other appliance modern EUR,26.6771,22.1155,23.7329,25.2505,23.8102
Portugal,resid others coal EUR,4.4405,0,0,0,0
Portugal,resid others modern EUR,27.4962,22.2446,23.6347,24.8984,23.2515
Romania,resid cooking coal EUR,3.10935,2.84935,3.67255,3.31208,3.1802
Romania,resid cooking modern EUR,7.89536,8.72126,10.2711,10.3624,7.81881
Romania,resid cooling modern EUR,17.6623,16.5817,17.3251,16.6762,15.514
Romania,resid heating coal EUR,3.737,3.55644,4.12811,3.87778,3.7862
Romania,resid heating modern EUR,5.19536,6.15458,7.55225,7.20308,6.22327
Romania,resid hot water coal EUR,3.33485,3.07485,3.89805,3.53758,3.4057
Romania,resid hot water modern EUR,7.25986,8.12424,9.49718,9.19236,7.57832
Romania,resid other appliance modern EUR,31.0897,30.2608,33.1305,31.9738,29.3034
Romania,resid others coal EUR,0,0,0,0,0
Romania,resid others modern EUR,31.9977,30.3091,32.8466,31.4234,28.5192
Serbia and Montenegro,resid cooking coal EUR,2.99696,2.76659,3.63768,3.25885,3.13339
Serbia and Montenegro,resid cooking modern EUR,23.736,25.2642,26.3021,25.1099,21.2582
Serbia and Montenegro,resid cooling modern EUR,17.316,16.3451,16.689,15.9712,14.3093
Serbia and Montenegro,resid heating coal EUR,3.65894,3.49897,4.10389,3.84082,3.75369
Serbia and Montenegro,resid heating modern EUR,8.5382,9.41923,10.0121,9.77109,8.23394
Serbia and Montenegro,resid hot water coal EUR,3.22246,2.99209,3.86318,3.48435,3.35889
Serbia and Montenegro,resid hot water modern EUR,30.1195,29.3981,31.2198,29.8381,25.1881
Serbia and Montenegro,resid other appliance modern EUR,30.1773,29.5891,31.2796,29.8705,25.6004
Serbia and Montenegro,resid others coal EUR,0,0,0,0,0
Serbia and Montenegro,resid others modern EUR,13.9718,16.2887,18.9336,19.1541,16.1415
Slovakia,resid cooking coal EUR,3.26728,3.02409,3.9023,3.52057,3.36729
Slovakia,resid cooking modern EUR,16.941,16.6057,18.2318,19.943,17.8206
Slovakia,resid cooling modern EUR,17.5334,16.1163,16.3467,15.9118,15.0017
Slovakia,resid heating coal EUR,3.84667,3.67779,4.28765,4.02256,3.91612
Slovakia,resid heating modern EUR,7.84434,7.63237,9.48207,10.0872,8.01843
Slovakia,resid hot water coal EUR,3.49278,3.24959,4.1278,3.74607,3.59279
Slovakia,resid hot water modern EUR,8.31507,8.08471,10.104,10.5891,8.98066
Slovakia,resid other appliance modern EUR,30.752,28.9398,30.2821,29.692,27.7281
Slovakia,resid others coal EUR,0,0,0,0,0
Slovakia,resid others modern EUR,31.6532,29.0012,30.0546,29.2089,27.0085
Slovenia,resid cooking coal EUR,0,0,0,0,0
Slovenia,resid cooking modern EUR,14.7722,15.0714,19.0527,21.0699,20.3775
Slovenia,resid cooling modern EUR,17.5432,16.1491,16.7339,16.0138,15.0763
Slovenia,resid heating coal EUR,3.69114,0,4.12875,0,3.77782
Slovenia,resid heating modern EUR,8.46376,8.04526,9.45125,9.36988,9.03751
Slovenia,resid hot water coal EUR,3.26881,0,3.89897,0,3.39363
Slovenia,resid hot water modern EUR,17.1403,14.9874,17.1571,16.7524,15.7564
Slovenia,resid other appliance modern EUR,30.7763,29.0327,31.4099,29.9973,27.9578
Slovenia,resid others coal EUR,0,0,0,0,0
Slovenia,resid others modern EUR,31.678,29.0932,31.1601,29.5052,27.2288
Spain,resid cooking coal EUR,2.86738,2.76351,3.53844,3.3212,3.21367
Spain,resid cooking modern EUR,16.317,14.9599,17.3237,18.5674,16.9797
Spain,resid cooling modern EUR,15.7738,13.7929,14.2417,14.4632,13.7877
Spain,resid heating coal EUR,3.56896,3.49683,4.03497,3.88411,3.80944
Spain,resid heating modern EUR,7.23445,7.63448,9.26089,9.69844,8.47249
Spain,resid hot water coal EUR,3.09288,2.98901,3.76394,3.5467,3.43917
Spain,resid hot water modern EUR,13.2699,10.6223,12.0959,12.5569,10.9415
Spain,resid other appliance modern EUR,26.1152,22.3452,24.1582,25.3716,23.9972
Spain,resid others coal EUR,0,0,0,0,0
Spain,resid others modern EUR,17.2057,17.4965,20.9359,22.2496,20.5979
Sweden,resid cooking coal EUR,0,0,0,0,0
Sweden,resid cooking modern EUR,20.7274,24.233,25.4896,26.9113,26.6629
Sweden,resid cooling modern EUR,15.0777,15.4683,17.2143,18.0478,17.1766
Sweden,resid heating coal EUR,0,0,0,0,0
Sweden,resid heating modern EUR,14.8359,14.9281,14.4375,14.5177,14.4023
Sweden,resid hot water coal EUR,0,0,0,0,0
Sweden,resid hot water modern EUR,18.7333,18.2213,16.9701,18.2452,18.2909
Sweden,resid other appliance modern EUR,29.9196,29.2883,28.0409,28.7425,28.1921
Sweden,resid others coal EUR,0,0,0,0,0
Sweden,resid others modern EUR,20.6743,24.2233,26.1165,26.9526,26.1109
Turkey,resid cooking coal EUR,2.84611,2.72093,3.50205,3.23882,3.12928
Turkey,resid cooking modern EUR,8.81644,8.82539,10.886,10.6766,9.16526
Turkey,resid cooling modern EUR,11.4853,10.8257,11.5667,11.4118,10.6031
Turkey,resid heating coal EUR,3.55419,3.46726,4.0097,3.82691,3.75084
Turkey,resid heating modern EUR,7.26009,6.57816,8.37002,8.01238,6.47593
Turkey,resid hot water coal EUR,3.07161,2.94643,3.72755,3.46432,3.35478
Turkey,resid hot water modern EUR,9.52378,9.63394,11.6697,11.2621,9.86067
Turkey,resid other appliance modern EUR,14.8082,13.5464,16.0373,15.6903,13.6094
Turkey,resid others coal EUR,4.21146,4.05498,5.03139,4.70235,4.56543
Turkey,resid others modern EUR,11.7279,11.0172,13.1473,12.6481,10.7413
UK,resid cooking modern EUR,15.9581,14.6092,15.6473,17.1249,14.7837
UK,resid cooling modern EUR,15.4082,14.1123,14.5527,14.8247,13.6858
UK,resid heating coal EUR,3.52608,3.50305,4.05107,3.85995,3.82628
UK,resid heating modern EUR,6.68183,6.64227,8.26618,8.63544,7.03461
UK,resid hot water coal EUR,3.03113,2.99797,3.78712,3.5119,3.46342
UK,resid hot water modern EUR,7.48897,7.45732,9.20179,9.61277,7.87068
UK,resid other appliance modern EUR,25.553,22.4242,23.1565,24.6982,22.1336
UK,resid others coal EUR,0,0,0,0,0
UK,resid others modern EUR,26.3494,22.5503,23.0697,24.3624,21.6437
Ukraine,resid cooking coal EUR,3.12471,2.85589,3.82867,3.48191,3.43701
Ukraine,resid cooking modern EUR,9.09322,9.32864,12.1318,13.0005,12.0563
Ukraine,resid cooling modern EUR,17.4042,18.7413,19.3253,19.0186,17.7418
Ukraine,resid heating coal EUR,3.74766,3.56098,4.23652,3.99572,3.96454
Ukraine,resid heating modern EUR,6.45224,6.70746,8.46047,8.46892,7.03889
Ukraine,resid hot water coal EUR,3.35021,3.08139,4.05417,3.70741,3.66251
Ukraine,resid hot water modern EUR,7.35806,8.95398,11.7582,13.9453,13.8123
Ukraine,resid other appliance modern EUR,30.4096,36.3902,38.9507,38.9616,36.1512
Ukraine,resid others coal EUR,0,0,0,0,0
Ukraine,resid others modern EUR,31.3039,36.3776,38.5518,38.2051,35.0859
