# File: A44.CalPrice_bld_EUR.csv
# Title: Prices by sector in the base years. Used to calibrate satiation impedance
# Units: 1975$/unit
# Source: GCAM v7.1 2015-output
# Column types: ccnnnnn
# ----------
region,market,1990,2005,2010,2015,2021
Portugal,comm heating EUR,12.9648,10.9197,12.1565,12.651,11.9212
Portugal,comm others EUR,21.4908,17.9465,21.7098,22.9617,21.033
Romania,comm cooling EUR,13.1795,11.9836,12.7951,12.1954,11.0683
Romania,comm heating EUR,6.80113,7.28407,9.87014,10.3525,8.41203
Romania,comm others EUR,24.0093,16.2187,23.0997,23.6788,20.8656
Serbia and Montenegro,comm cooling EUR,12.617,11.9104,12.2367,11.5461,9.94357
Serbia and Montenegro,comm heating EUR,6.86929,8.45564,8.67231,10.0608,8.33437
Serbia and Montenegro,comm others EUR,17.1355,26.3552,26.3301,25.2188,20.9888
Slovakia,comm cooling EUR,12.6459,11.6336,11.8992,11.4899,10.6009
Slovakia,comm heating EUR,4.97472,7.79721,9.16765,10.4505,8.81074
Slovakia,comm others EUR,14.3683,22.0649,24.6801,25.5229,23.228
Slovenia,comm cooling EUR,12.9247,11.7166,12.2832,11.59,10.6864
Slovenia,comm heating EUR,7.23407,9.411,12.5644,13.3612,12.0814
Slovenia,comm others EUR,20.2914,24.7889,28.0305,27.4422,25.7754
Spain,comm cooling EUR,11.3577,9.45182,9.88769,10.0993,9.44647
Spain,comm heating EUR,13.1348,12.3452,13.2526,13.0167,10.0452
Spain,comm others EUR,21.3996,19.3436,21.5847,22.4875,20.1134
Sweden,comm cooling EUR,12.7507,11.8072,11.1694,11.1862,10.7615
Sweden,comm heating EUR,11.802,12.3822,12.4497,13.2335,13.2706
Sweden,comm others EUR,24.7188,26.5889,25.7076,26.7181,25.9998
Turkey,comm cooling EUR,7.2244,6.48538,7.20946,6.9899,6.20956
Turkey,comm heating EUR,6.50756,7.01995,6.10737,6.77721,7.18722
Turkey,comm others EUR,13.7912,12.1808,12.9542,13.1918,12.1253
UK,comm cooling EUR,10.9352,9.42467,9.61267,9.92014,8.88204
UK,comm heating EUR,7.00612,7.39959,9.0359,9.45936,7.51535
UK,comm others EUR,16.6337,16.4977,18.1236,19.1081,15.9002
Ukraine,comm cooling EUR,9.59634,13.64,14.5142,14.3294,12.7636
Ukraine,comm heating EUR,6.38018,8.78478,8.59186,9.43911,7.55666
Ukraine,comm others EUR,5.36773,35.1051,32.7745,35.2458,30.1652
Albania,resid cooking coal EUR,0,0,0,0,0
Albania,resid cooking modern EUR,14.2838,17.7684,19.4915,20.9095,18.4598
Albania,resid cooling modern EUR,24.5126,15.6916,16.3628,16.1016,14.5373
Albania,resid heating coal EUR,0,0,0,0,0
Albania,resid heating modern EUR,11.7568,15.4768,17.0993,18.6023,17.0518
Albania,resid hot water coal EUR,0,0,0,0,0
Albania,resid hot water modern EUR,18.6951,21.4117,23.2673,23.7926,21.0999
Albania,resid other appliance modern EUR,49.1341,27.7343,30.3301,30.2595,26.3012
Albania,resid others coal EUR,0,0,0,0,0
Albania,resid others modern EUR,33.1571,27.8077,30.1016,29.7597,25.6402
Austria,resid cooking coal EUR,2.9967,2.85212,3.66348,3.34772,3.21364
Austria,resid cooking modern EUR,26.8738,25.9291,26.5727,26.5652,25.2337
Austria,resid cooling modern EUR,16.5572,15.5453,15.5225,15.263,14.5729
Austria,resid heating coal EUR,3.65877,3.55836,4.12181,3.90253,3.80942
Austria,resid heating modern EUR,7.27123,7.54507,8.9474,9.17791,8.11057
Austria,resid hot water coal EUR,3.2222,3.07762,3.88898,3.57322,3.43914
Austria,resid hot water modern EUR,15.5612,15.1227,16.0211,15.8579,14.419
Austria,resid other appliance modern EUR,28.1876,27.3202,27.8799,27.7504,26.408
Austria,resid others coal EUR,0,0,0,0,0
Austria,resid others modern EUR,29.0371,27.3977,27.6998,27.3246,25.7427
Belgium,resid cooking coal EUR,0,0,0,0,0
Belgium,resid cooking modern EUR,23.2143,21.4489,22.3131,22.796,21.061
Belgium,resid cooling modern EUR,16.5133,15.4623,15.475,15.2057,14.5393
Belgium,resid heating coal EUR,3.67837,3.55841,4.12187,3.90256,3.80943
Belgium,resid heating modern EUR,7.19942,7.22292,9.03596,9.51972,7.56397
Belgium,resid hot water coal EUR,3.25043,3.07769,3.88907,3.57326,3.43916
Belgium,resid hot water modern EUR,15.0259,13.5388,14.8714,15.4699,13.4516
Belgium,resid other appliance modern EUR,28.0634,27.0835,27.7464,27.5863,26.3072
Belgium,resid others coal EUR,0,0,0,0,0
Belgium,resid others modern EUR,25.6195,24.3278,25.6777,25.6167,24.0561
Bosnia and Herzegovina,resid cooking coal EUR,0,0,3.6618,3.28199,3.17642
Bosnia and Herzegovina,resid cooking modern EUR,21.9507,26.997,26.7149,22.5204,18.5995
Bosnia and Herzegovina,resid cooling modern EUR,17.5409,16.85,16.2221,15.5351,14.118
Bosnia and Herzegovina,resid heating coal EUR,0,0,4.12065,3.85689,3.78357
Bosnia and Herzegovina,resid heating modern EUR,7.12592,6.75412,7.34659,7.75015,7.03647
Bosnia and Herzegovina,resid hot water coal EUR,0,0,3.8873,3.50749,3.40192
Bosnia and Herzegovina,resid hot water modern EUR,29.8847,30.0781,29.2906,28.0648,23.9481
Bosnia and Herzegovina,resid other appliance modern EUR,30.7702,31.0224,29.9207,28.569,25.0121
Bosnia and Herzegovina,resid others coal EUR,0,0,0,0,0
Bosnia and Herzegovina,resid others modern EUR,31.6717,31.0631,29.7003,28.1191,24.4041
Bulgaria,resid cooking coal EUR,3.1231,2.87298,3.71217,3.27428,3.13145
Bulgaria,resid cooking modern EUR,24.6927,25.1471,26.8979,25.328,21.9519
Bulgaria,resid cooling modern EUR,17.301,16.0992,16.2875,15.5512,13.8975
Bulgaria,resid heating coal EUR,3.74654,3.57285,4.15562,3.85153,3.75234
Bulgaria,resid heating modern EUR,10.7796,8.43845,9.10559,8.85012,8.16388
Bulgaria,resid hot water coal EUR,3.3486,3.09848,3.93767,3.49978,3.35695
