# File: JRC_trn_data.csv
# Title: JRC-specific assumptions to layer into UCD_trn_data_CORE.csv database
# Units: Various
# Column types: ccccccccnnnnnnnnnnnnnnnnnnn
# Source: The JRC Integrated Database of the European Energy System. JRC-IDEES. https://data.jrc.ec.europa.eu/collection/id-0110
# ----------
UCD_region,UCD_sector,mode,size.class,UCD_technology,UCD_fuel,variable,unit,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Austria,Passenger,Bus,All,Liquids,Gasoline,load factor,p/movement,7.498518262,7.75042398,7.463002624,7.451748089,7.207928771,6.855664797,7.08502342,6.969678219,6.972253027,6.943661603,6.943147032,6.986228297,6.996335124,6.909932257,6.889028708,6.565280143,6.585213666,7.124484867,7.412664879
Austria,Passenger,Bus,All,NG,Natural Gas,load factor,p/movement,19.50633679,20.16013075,19.41250936,19.38172883,18.74591094,17.82971773,18.42493949,18.12499826,18.13037597,18.05663167,18.05465965,18.16747713,18.1937156,17.96914228,17.91474341,14.69910794,15.21811764,18.52696154,19.2754385
Austria,Passenger,Bus,All,Liquids,LPG,load factor,p/movement,19.50633679,20.16013075,19.41250936,19.38172883,18.74591094,17.82971773,18.42493949,18.12499826,18.13037597,18.05663167,18.05465965,18.16747713,18.1937156,17.96914228,17.91474341,14.69910794,15.21811764,18.52696154,19.2754385
Austria,Passenger,Bus,All,Hybrid Liquids,Liquids,load factor,,,,,,,,,,,,,,,,,,,,
Austria,Passenger,Air Domestic,All,Liquids,Liquids,intensity,kgoe / kpkm,199.9011421,167.1634968,158.7628508,145.9785021,143.4574816,128.8308514,162.803108,164.8367762,171.5820502,177.0812064,195.1655296,199.7136391,177.3842551,169.2208706,147.4983153,370.8779443,502.4925766,251.1326266,226.9347188
Austria,Passenger,Air International,All,Liquids,Liquids,intensity,kgoe / kpkm,30.30698994,33.332417,35.00012996,35.46690667,36.21519827,36.08372223,37.02317968,35.68178868,33.36546825,30.10609693,31.21147247,34.41075923,30.94260945,28.7543371,28.27199488,47.50686674,47.9534172,27.51260669,27.83662447
Austria,Freight,Rail,All,Liquids,Diesel,intensity,kgoe / ktkm,10.50028108,10.8878226,10.52693775,7.311021178,6.921803009,6.552340395,6.013756823,5.733796178,5.347847717,5.210095694,5.170130543,4.865826312,4.959541219,4.371291431,4.908943852,11.50501236,11.48675836,11.21014796,7.283150892
Austria,Freight,Rail,All,Electric,Electricity,intensity,kgoe / ktkm,4.250017163,3.99183014,3.653539923,3.825638505,3.949056698,3.761023935,3.716183188,3.540494217,3.558874926,3.125995863,3.069059712,2.935211008,2.868776331,2.956900653,3.039010775,3.158042752,2.98563861,2.939003512,3.073110732
Austria,Freight,Rail,All,Electric,Electricity,energy,ktoe,74.31087956,77.25741489,71.93374221,77.91200988,65.08379915,69.46461557,70.91665995,64.49062139,64.61988569,60.7506554,60.66058747,59.53485819,60.41742059,61.66102254,62.57634358,60.28602382,60.81485946,60.93145662,58.60390024
Austria,Freight,Rail,All,Liquids,Diesel,energy,ktoe,15.45807041,17.70486958,17.7086297,11.32657566,8.902497851,8.933447123,7.588169778,7.361353401,5.99284307,6.835559219,5.422418681,5.245405017,5.92989794,4.995243033,5.620623263,16.20274534,16.19484187,16.08642572,8.267138001
