# File: A44.gcam_consumer_EUR.csv
# Title: GCAM consumer attributes
# Units: NA
# Column types: cccncc 
# ----------
gcam.consumer,nodeInput,building.node.input,price.exponent,internal.gains.market.name,internal.gains.unit
resid EUR,resid EUR,resid_building,0,resid-internal-gains-trial-market,EJ
comm EUR,comm EUR,comm_building,0,comm-internal-gains-trial-market,EJ
