# File: A44.en_consumption_shares_hp_EUR.csv
# Title: Heatpump shares across deciles
# Units: NA
# Source: BC3 - based on Prescott Morley's model
# Column types: ccccnnnnnn
# ----------
region,decile,GCAM_region_ID,consumption.category,liquidity,blend,smoothed,engel,quadratic,engel_eps
Finland,d5,36,air,0.09796,0.09599,0.07541,0.07832,0.04366,1
Finland,d6,36,air,0.10552,0.10406,0.09278,0.09089,0.05880,1
Finland,d7,36,air,0.11368,0.11287,0.11428,0.10549,0.07921,1
Finland,d8,36,air,0.12383,0.12397,0.14297,0.12517,0.11151,1
Finland,d9,36,air,0.13765,0.13935,0.17892,0.15466,0.17025,1
Finland,d10,36,air,0.17704,0.18492,0.22411,0.25585,0.46590,1
France,d1,37,air,0.00000,0.00258,0.02540,0.02576,0.00472,1
France,d2,37,air,0.00000,0.00418,0.03647,0.04178,0.01242,1
France,d3,37,air,0.08864,0.08531,0.04860,0.05529,0.02176,1
France,d4,37,air,0.09744,0.09438,0.06107,0.06680,0.03177,1
France,d5,37,air,0.10551,0.10279,0.07541,0.07832,0.04366,1
France,d6,37,air,0.11365,0.11138,0.09278,0.09089,0.05880,1
France,d7,37,air,0.12244,0.12075,0.11428,0.10549,0.07921,1
France,d8,37,air,0.13338,0.13256,0.14297,0.12517,0.11151,1
France,d9,37,air,0.14826,0.14890,0.17892,0.15466,0.17025,1
France,d10,37,air,0.19069,0.19720,0.22411,0.25585,0.46590,1
Germany,d1,38,air,0.00000,0.00258,0.02540,0.02576,0.00472,1
Germany,d2,38,air,0.00000,0.00418,0.03647,0.04178,0.01242,1
Germany,d3,38,air,0.08864,0.08531,0.04860,0.05529,0.02176,1
Germany,d4,38,air,0.09744,0.09438,0.06107,0.06680,0.03177,1
Germany,d5,38,air,0.10551,0.10279,0.07541,0.07832,0.04366,1
Germany,d6,38,air,0.11365,0.11138,0.09278,0.09089,0.05880,1
Germany,d7,38,air,0.12244,0.12075,0.11428,0.10549,0.07921,1
Germany,d8,38,air,0.13338,0.13256,0.14297,0.12517,0.11151,1
Germany,d9,38,air,0.14826,0.14890,0.17892,0.15466,0.17025,1
Germany,d10,38,air,0.19069,0.19720,0.22411,0.25585,0.46590,1
Greece,d1,39,air,0.00000,0.00258,0.01345,0.00795,0.00472,1.7107
Greece,d2,39,air,0.00000,0.00418,0.02008,0.01818,0.01242,1.7107
Greece,d3,39,air,0.00000,0.00553,0.02797,0.02937,0.02176,1.7107
Greece,d4,39,air,0.00000,0.00668,0.03687,0.04059,0.03177,1.7107
Greece,d5,39,air,0.00000,0.00783,0.04823,0.05329,0.04366,1.7107
Greece,d6,39,air,0.00000,0.00909,0.06395,0.06873,0.05880,1.7107
Greece,d7,39,air,0.00000,0.01055,0.08716,0.08869,0.07921,1.7107
Greece,d8,39,air,0.28239,0.26666,0.12709,0.11883,0.11151,1.7107
Greece,d9,39,air,0.31389,0.29797,0.20065,0.17065,0.17025,1.7107
Greece,d10,39,air,0.40372,0.38893,0.37454,0.40372,0.46590,1.7107
Hungary,d1,40,air,0.00000,0.00282,0.01360,0.00873,0.00582,1.759
Hungary,d2,40,air,0.00000,0.00451,0.02110,0.01994,0.01488,1.759
Hungary,d3,40,air,0.00000,0.00578,0.02913,0.03082,0.02441,1.759
Hungary,d4,40,air,0.00000,0.00687,0.03818,0.04175,0.03448,1.759
Hungary,d5,40,air,0.00000,0.00799,0.05007,0.05450,0.04667,1.759
Hungary,d6,40,air,0.00000,0.00919,0.06610,0.06968,0.06172,1.759
Hungary,d7,40,air,0.00000,0.01050,0.08797,0.08802,0.08050,1.759
Hungary,d8,40,air,0.28318,0.26717,0.12600,0.11644,0.11066,1.759
Hungary,d9,40,air,0.31379,0.29752,0.19787,0.16708,0.16684,1.759
Hungary,d10,40,air,0.40303,0.38765,0.36998,0.40303,0.45402,1.759
Ireland,d1,41,air,0.00000,0.00258,0.02540,0.02576,0.00472,1
Ireland,d2,41,air,0.00000,0.00418,0.03647,0.04178,0.01242,1
Ireland,d3,41,air,0.08864,0.08531,0.04860,0.05529,0.02176,1
Ireland,d4,41,air,0.09744,0.09438,0.06107,0.06680,0.03177,1
Ireland,d5,41,air,0.10551,0.10279,0.07541,0.07832,0.04366,1
Ireland,d6,41,air,0.11365,0.11138,0.09278,0.09089,0.05880,1
Ireland,d7,41,air,0.12244,0.12075,0.11428,0.10549,0.07921,1
Ireland,d8,41,air,0.13338,0.13256,0.14297,0.12517,0.11151,1
Ireland,d9,41,air,0.14826,0.14890,0.17892,0.15466,0.17025,1
Ireland,d10,41,air,0.19069,0.19720,0.22411,0.25585,0.46590,1
Italy,d1,42,air,0.00000,0.00258,0.01971,0.02576,0.00472,1
Italy,d2,42,air,0.00000,0.00418,0.02888,0.04178,0.01242,1
Italy,d3,42,air,0.00000,0.00553,0.03938,0.05529,0.02176,1
Italy,d4,42,air,0.10692,0.10290,0.05070,0.06680,0.03177,1
Italy,d5,42,air,0.11577,0.11202,0.06443,0.07832,0.04366,1
Italy,d6,42,air,0.12471,0.12133,0.08215,0.09089,0.05880,1
Italy,d7,42,air,0.13435,0.13147,0.10597,0.10549,0.07921,1
Italy,d8,42,air,0.14635,0.14423,0.14150,0.12517,0.11151,1
Italy,d9,42,air,0.16268,0.16188,0.19337,0.15466,0.17025,1
Italy,d10,42,air,0.20923,0.21389,0.27392,0.25585,0.46590,1
Latvia,d1,43,air,0.00000,0.00282,0.00375,0.00000,0.00582,6.5713
Latvia,d2,43,air,0.00000,0.00451,0.00593,0.00001,0.01488,6.5713
Latvia,d3,43,air,0.00000,0.00578,0.00835,0.00006,0.02441,6.5713
Latvia,d4,43,air,0.00000,0.00687,0.01120,0.00020,0.03448,6.5713
Latvia,d5,43,air,0.00000,0.00799,0.01515,0.00054,0.04667,6.5713
Latvia,d6,43,air,0.00000,0.00919,0.02089,0.00135,0.06172,6.5713
Latvia,d7,43,air,0.00000,0.01050,0.02960,0.00323,0.08050,6.5713
Latvia,d8,43,air,0.00000,0.01231,0.04779,0.00919,0.11066,6.5713
Latvia,d9,43,air,0.00000,0.01511,0.09877,0.03541,0.16684,6.5713
Latvia,d10,43,air,1.00000,0.92493,0.75857,0.95000,0.45402,6.5713
Lithuania,d1,44,air,0.00000,0.00282,0.01980,0.02453,0.00582,1.0968
Lithuania,d2,44,air,0.00000,0.00451,0.03008,0.04105,0.01488,1.0968
Lithuania,d3,44,air,0.00000,0.00578,0.04065,0.05386,0.02441,1.0968
Lithuania,d4,44,air,0.00000,0.00687,0.05202,0.06508,0.03448,1.0968
Lithuania,d5,44,air,0.00000,0.00799,0.06618,0.07684,0.04667,1.0968
Lithuania,d6,44,air,0.16247,0.15542,0.08398,0.08957,0.06172,1.0968
Lithuania,d7,44,air,0.17363,0.16676,0.10613,0.10362,0.08050,1.0968
Lithuania,d8,44,air,0.18800,0.18151,0.13980,0.12337,0.11066,1.0968
Lithuania,d9,44,air,0.20833,0.20260,0.19057,0.15452,0.16684,1.0968
Lithuania,d10,44,air,0.26757,0.26574,0.27079,0.26757,0.45402,1.0968
Luxembourg,d1,45,air,0.05319,0.05044,0.02540,0.02576,0.00472,1
Luxembourg,d2,45,air,0.06774,0.06514,0.03647,0.04178,0.01242,1
Luxembourg,d3,45,air,0.07792,0.07566,0.04860,0.05529,0.02176,1
Luxembourg,d4,45,air,0.08566,0.08377,0.06107,0.06680,0.03177,1
Luxembourg,d5,45,air,0.09275,0.09130,0.07541,0.07832,0.04366,1
Luxembourg,d6,45,air,0.09991,0.09901,0.09278,0.09089,0.05880,1
Luxembourg,d7,45,air,0.10764,0.10742,0.11428,0.10549,0.07921,1
Luxembourg,d8,45,air,0.11725,0.11804,0.14297,0.12517,0.11151,1
