# File: A44.demandFn_flsp_EUR.csv
# Title: Floorspace demand function type
# Units: NA
# Column types: ccc 
# ----------
gcam.consumer,nodeInput,prodDmdFnType
resid EUR,resid EUR,building-gompertz-function
comm EUR,comm EUR,building-function
