"","sector.name","subsector.name","intermittent.technology","year","input.capital","capital.overnight","fixed.charge.rate"
"405","subpeak generation","wind","wind_offshore_fixed_subpeak",2030,"capital",510,0.13
"406","peak generation","wind","wind_offshore_fixed_peak",2030,"capital",510,0.13
"407","base load generation","wind","wind_offshore_fixed_base",2035,"capital",464,0.13
"408","intermediate generation","wind","wind_offshore_fixed_int",2035,"capital",464,0.13
"409","subpeak generation","wind","wind_offshore_fixed_subpeak",2035,"capital",464,0.13
"410","peak generation","wind","wind_offshore_fixed_peak",2035,"capital",464,0.13
"411","base load generation","wind","wind_offshore_fixed_base",2040,"capital",434,0.13
"412","intermediate generation","wind","wind_offshore_fixed_int",2040,"capital",434,0.13
"413","subpeak generation","wind","wind_offshore_fixed_subpeak",2040,"capital",434,0.13
"414","peak generation","wind","wind_offshore_fixed_peak",2040,"capital",434,0.13
"415","base load generation","wind","wind_offshore_fixed_base",2045,"capital",415,0.13
"416","intermediate generation","wind","wind_offshore_fixed_int",2045,"capital",415,0.13
"417","subpeak generation","wind","wind_offshore_fixed_subpeak",2045,"capital",415,0.13
"418","peak generation","wind","wind_offshore_fixed_peak",2045,"capital",415,0.13
"419","base load generation","wind","wind_offshore_fixed_base",2050,"capital",401,0.13
"420","intermediate generation","wind","wind_offshore_fixed_int",2050,"capital",401,0.13
"421","subpeak generation","wind","wind_offshore_fixed_subpeak",2050,"capital",401,0.13
"422","peak generation","wind","wind_offshore_fixed_peak",2050,"capital",401,0.13
"423","base load generation","wind","wind_offshore_fixed_base",2055,"capital",393,0.13
"424","intermediate generation","wind","wind_offshore_fixed_int",2055,"capital",393,0.13
"425","subpeak generation","wind","wind_offshore_fixed_subpeak",2055,"capital",393,0.13
"426","peak generation","wind","wind_offshore_fixed_peak",2055,"capital",393,0.13
"427","base load generation","wind","wind_offshore_fixed_base",2060,"capital",387,0.13
"428","intermediate generation","wind","wind_offshore_fixed_int",2060,"capital",387,0.13
"429","subpeak generation","wind","wind_offshore_fixed_subpeak",2060,"capital",387,0.13
"430","peak generation","wind","wind_offshore_fixed_peak",2060,"capital",387,0.13
"431","base load generation","wind","wind_offshore_fixed_base",2065,"capital",383,0.13
"432","intermediate generation","wind","wind_offshore_fixed_int",2065,"capital",383,0.13
"433","subpeak generation","wind","wind_offshore_fixed_subpeak",2065,"capital",383,0.13
"434","peak generation","wind","wind_offshore_fixed_peak",2065,"capital",383,0.13
"435","base load generation","wind","wind_offshore_fixed_base",2070,"capital",381,0.13
"436","intermediate generation","wind","wind_offshore_fixed_int",2070,"capital",381,0.13
"437","subpeak generation","wind","wind_offshore_fixed_subpeak",2070,"capital",381,0.13
"438","peak generation","wind","wind_offshore_fixed_peak",2070,"capital",381,0.13
"439","base load generation","wind","wind_offshore_fixed_base",2075,"capital",379,0.13
"440","intermediate generation","wind","wind_offshore_fixed_int",2075,"capital",379,0.13
"441","subpeak generation","wind","wind_offshore_fixed_subpeak",2075,"capital",379,0.13
"442","peak generation","wind","wind_offshore_fixed_peak",2075,"capital",379,0.13
"443","base load generation","wind","wind_offshore_fixed_base",2080,"capital",378,0.13
"444","intermediate generation","wind","wind_offshore_fixed_int",2080,"capital",378,0.13
"445","subpeak generation","wind","wind_offshore_fixed_subpeak",2080,"capital",378,0.13
"446","peak generation","wind","wind_offshore_fixed_peak",2080,"capital",378,0.13
"447","base load generation","wind","wind_offshore_fixed_base",2085,"capital",378,0.13
"448","intermediate generation","wind","wind_offshore_fixed_int",2085,"capital",378,0.13
"449","subpeak generation","wind","wind_offshore_fixed_subpeak",2085,"capital",378,0.13
"450","peak generation","wind","wind_offshore_fixed_peak",2085,"capital",378,0.13
"451","base load generation","wind","wind_offshore_fixed_base",2090,"capital",377,0.13
"452","intermediate generation","wind","wind_offshore_fixed_int",2090,"capital",377,0.13
"453","subpeak generation","wind","wind_offshore_fixed_subpeak",2090,"capital",377,0.13
"454","peak generation","wind","wind_offshore_fixed_peak",2090,"capital",377,0.13
"455","base load generation","wind","wind_offshore_fixed_base",2095,"capital",377,0.13
"456","intermediate generation","wind","wind_offshore_fixed_int",2095,"capital",377,0.13
"457","subpeak generation","wind","wind_offshore_fixed_subpeak",2095,"capital",377,0.13
"458","peak generation","wind","wind_offshore_fixed_peak",2095,"capital",377,0.13
"459","base load generation","wind","wind_offshore_fixed_base",2100,"capital",377,0.13
"460","intermediate generation","wind","wind_offshore_fixed_int",2100,"capital",377,0.13
"461","subpeak generation","wind","wind_offshore_fixed_subpeak",2100,"capital",377,0.13
"462","peak generation","wind","wind_offshore_fixed_peak",2100,"capital",377,0.13
