# File: GCAMFAOSTAT_GDP.csv
# Title: FAO real and nominal GDP since 1970
# Units: 2015 million USD or nominal million USD
# Description:  Data is preprocessed and generated by gcamfaostat.
# Data source: FAOSTAT (main domain:MK FAO.udpate:2024-06-12T00:00:00)
# Date of CSV last update: 2024-07-24
# Column types: iicicccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,item_code,item,element_code,element,unit,area,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
7,22008,Gross Domestic Product,6110,Value US$,million USD,Angola,3807.845629,4008.354404,4103.085021,5017.414098,5628.237036,4148.373898,3981.809822,4345.210241,4846.580654,5381.37576,7152.884551,6684.938833,6684.938833,6985.76108,7386.85741,9124.941507,8556.721706,9860.284778,10629.05274,12367.13684,13670.69991,16189.23742,18586.67551,13467.95314,13860.72419,6642.229111,8725.773846,10226.79066,8617.787793,8227.190091,12207.35457,11948.60124,15285.59249,17812.70463,23552.04585,36970.87808,52381.02511,65266.41571,88538.66489,70307.19322,83799.47893,111789.746,128052.9134,136709.8919,145712.1753,116193.6488,101123.8274,122123.858,101353.2112,83136.74248,54821.0798,69905.71408,113304.6506,84327.88129
7,22008,Gross Domestic Product,6184,"Value US$, 2015 prices",million USD,Angola,26647.7597,28246.62528,28303.11853,30595.67113,31544.13694,29966.93009,28408.64973,28635.91892,27118.21522,27199.56987,27852.35954,26626.85538,26626.85538,27745.18369,29409.89531,30439.2415,31406.04243,33604.58349,35477.32505,35614.79064,35456.4327,35807.93334,33717.36567,25630.78911,25974.07854,29870.19032,33915.91934,36383.05738,38089.83988,38920.76583,40109.64897,41369.09195,47380.02101,48796.61161,54141.34861,62278.35934,69532.51471,79273.55452,88124.00957,88880.59955,93199.49777,96435.36599,104673.017,109859.1364,115157.2337,116193.6488,113172.6139,113059.4413,111589.6685,110808.5409,104560.8927,105815.6235,108990.0922,112793.8464
8,22008,Gross Domestic Product,6110,Value US$,million USD,Antigua and Barbuda,33.865823,41.156057,56.405489,78.360329,83.5295,85.416591,71.000877,80.823635,91.503578,112.682448,134.44962,152.098678,168.525878,187.261032,211.924459,244.77886,290.440741,337.174074,398.637037,438.796296,459.47037,481.707407,499.281481,535.174074,589.42963,577.281481,633.72963,680.618519,727.859259,766.2,783.837037,773.766667,802.52963,839.996296,898.355556,1014.981481,1149.025926,1302.388889,1370.07037,1228.32963,1148.7,1137.637037,1199.948148,1181.448148,1249.733333,1336.692593,1436.585185,1467.955556,1604.77037,1675.403704,1418.062963,1560.518519,1770.248148,1962.005543
8,22008,Gross Domestic Product,6184,"Value US$, 2015 prices",million USD,Antigua and Barbuda,283.350965,304.536084,327.045273,354.850742,366.92832,346.799023,315.742394,338.747305,350.700581,388.481471,414.522536,435.013867,436.721478,466.604668,501.397239,540.245386,585.710526,636.7254,684.966058,720.941857,742.654377,758.818834,767.609561,808.138415,862.09545,824.511646,878.966185,927.059774,970.920131,1006.91814,1018.782735,986.240607,1015.078103,1075.107359,1131.942813,1221.644663,1378.074311,1506.092896,1517.553269,1336.012966,1231.261603,1207.145958,1247.861376,1240.363272,1287.444083,1336.692593,1410.163356,1454.507892,1553.760052,1621.256318,1338.864733,1425.172891,1554.182042,1640.174935
9,22008,Gross Domestic Product,6110,Value US$,million USD,Argentina,33984.52748,40656.24771,38310.46804,43140.63075,48535.08432,51660.38969,54697.55726,61570.25691,63778.20223,73916.29716,81764.36952,84652.80657,87041.46618,94170.34221,99524.44894,95529.91065,114734.8428,117919.338,137512.0932,83044.45865,153185.7232,205589.5213,247929.4198,256573.0749,279266.9924,279701.4254,295030.7686,317532.579,324135.1047,307410.162,308148.2335,291334.7183,110583.5903,140444.1397,165947.7504,200622.2059,234391.2342,289755.1427,365644.3767,336359.3896,426487.4349,530158.1767,581430.9044,613316.0274,567050.1453,644903.2005,557532.3174,643628.3962,524819.8986,447754.6867,385740.5103,487902.5739,631133.1428,554344.9287
9,22008,Gross Domestic Product,6184,"Value US$, 2015 prices",million USD,Argentina,246484.6645,255755.3439,261069.1807,270843.977,285485.5631,283792.491,283760.7855,301877.291,292153.2234,312653.9803,317197.3741,300014.9515,290530.747,302478.3813,308544.5771,287081.9453,307589.998,315380.5947,309222.0203,287543.8384,283694.7294,313471.4366,345773.1593,367389.7554,388831.5042,377768.2577,398646.2732,430980.7038,447574.253,432421.8043,429010.045,410095.6979,365417.8539,397710.0317,433621.5045,472004.2054,509987.0989,555924.9563,578480.1277,544242.6362,599349.3701,635334.0167,628812.8184,643937.8027,627758.1228,644903.2005,631487.0996,649285.5823,632291.2046,619639.9363,558292.5785,618130.4325,648767.2636,650064.7982
10,22008,Gross Domestic Product,6110,Value US$,million USD,Australia,45216.64724,50468.45017,59401.60994,85802.77,102280.0215,109112.6287,117566.7498,116494.8855,135923.7027,150464.8375,173480.1972,202084.6393,192128.1478,192507.3086,206661.7281,182183.0512,191415.7386,227262.67,287735.4498,320019.0311,324201.8958,329713.0101,326237.685,317301.5722,362526.5567,392109.901,435621.7019,437322.8043,390624.4078,427545.4047,410129.327,391243.0807,436338.3477,560400.1952,680595.9173,763348.8782,820063.8407,987077.353,1058097.572,1017308.051,1301324.272,1548126.837,1591885.856,1544341.035,1464563.512,1246298.652,1307879.662,1413693.491,1456981.697,1379623.894,1437562.723,1752688.161,1776577.056,1711511.887
10,22008,Gross Domestic Product,6184,"Value US$, 2015 prices",million USD,Australia,313052.2826,325293.4128,333813.9663,347524.7882,352169.2583,361286.2261,374275.0086,377618.7099,392913.8718,404841.549,418362.7137,432274.1699,422658.3606,442065.6104,465400.1694,483856.6933,496255.7696,524809.8689,545165.4054,564677.5461,562521.185,564926.9668,587779.1498,611171.0329,634903.8114,659436.0778,685241.0607,717195.5756,753253.6408,782792.6166,798645.1637,830428.3163,856094.2578,892258.4335,920401.5071,945761.3136,981448.6018,1016645.586,1035886.352,1058950.756,1084460.581,1126954.189,1156324.852,1186474.878,1212598.802,1246298.652,1275196.696,1312258.542,1340880.333,1336392.589,1364614.941,1422869.621,1465797.428,1489191.555
11,22008,Gross Domestic Product,6110,Value US$,million USD,Austria,15373.05689,17858.7497,22060.17996,29514.76053,35188.34268,40058.42869,42959.10562,51547.5668,62050.45551,73940.7896,82055.32354,71031.2754,71272.75527,72118.45619,67984.55966,69388.40794,99035.64285,124172.9962,133333.4634,133104.415,166467.8158,173789.681,195071.776,190369.8859,203545.9367,241054.445,237264.7833,212786.2668,218254.6305,217179.4761,196799.6278,197336.1133,213387.4776,261685.6874,300917.2984,315966.5597,335981.3458,388671.4958,430310.2271,400148.1935,391892.7465,431120.3101,409425.2342,430068.713,441996.1317,381817.5659,395568.6443,417261.1518,454991.1741,444596.1558,435049.317,479295.3627,470302.1709,523721.4278
11,22008,Gross Domestic Product,6184,"Value US$, 2015 prices",million USD,Austria,135119.0108,142027.8203,150844.7093,158216.9446,164456.6253,163860.7936,171360.7068,180065.7975,179686.4822,189311.7479,192589.6535,192311.7569,196179.6361,202012.2294,202115.8107,207166.035,211933.7401,214810.0371,221889.9179,230514.9451,240532.2979,248810.5243,254019.4339,255357.6316,261491.626,268468.1795,274775.9303,280528.6375,290575.5625,300909.3921,311067.2571,315009.0024,320211.5459,323226.2445,332066.8709,339518.6684,351245.7852,364338.1744,369659.0553,355742.9512,362278.2825,372866.9423,375404.0989,375499.8446,377982.9231,381817.5659,389413.5864,398208.7744,407866.8717,413783.0997,386336.9021,402709.3452,422065.2888,423922.376
