# File: A_demand_base_food_prices.csv
# Title: Base Year Food Prices
# Units: 2005$/Mcal/day
# Description: Base year staple and nonstaple prices
# Source: GCAM Output
# Column types: ccccnn
# ----------
Units,region,nodeinput,input,year,value
2005$/Mcal/day,Indonesia,FoodDemand,FoodDemand_NonStaples,1990,0.260563
2005$/Mcal/day,Indonesia,FoodDemand,FoodDemand_Staples,1990,0.0391563
2005$/Mcal/day,Ireland,FoodDemand,FoodDemand_NonStaples,1990,0.307091
2005$/Mcal/day,Ireland,FoodDemand,FoodDemand_Staples,1990,0.0383171
2005$/Mcal/day,Italy,FoodDemand,FoodDemand_NonStaples,1990,0.311887
2005$/Mcal/day,Italy,FoodDemand,FoodDemand_Staples,1990,0.0265026
2005$/Mcal/day,Japan,FoodDemand,FoodDemand_NonStaples,1990,0.904256
2005$/Mcal/day,Japan,FoodDemand,FoodDemand_Staples,1990,0.134792
2005$/Mcal/day,Latvia,FoodDemand,FoodDemand_NonStaples,1990,0.216698
2005$/Mcal/day,Latvia,FoodDemand,FoodDemand_Staples,1990,0.033727
2005$/Mcal/day,Lithuania,FoodDemand,FoodDemand_NonStaples,1990,0.315645
2005$/Mcal/day,Lithuania,FoodDemand,FoodDemand_Staples,1990,0.033364
2005$/Mcal/day,Luxembourg,FoodDemand,FoodDemand_NonStaples,1990,0.548993
2005$/Mcal/day,Luxembourg,FoodDemand,FoodDemand_Staples,1990,0.0289843
2005$/Mcal/day,Macedonia,FoodDemand,FoodDemand_NonStaples,1990,0.274361
2005$/Mcal/day,Macedonia,FoodDemand,FoodDemand_Staples,1990,0.0232225
2005$/Mcal/day,Malta,FoodDemand,FoodDemand_NonStaples,1990,0.295346
2005$/Mcal/day,Malta,FoodDemand,FoodDemand_Staples,1990,0.0276779
2005$/Mcal/day,Mexico,FoodDemand,FoodDemand_NonStaples,1990,0.227399
2005$/Mcal/day,Mexico,FoodDemand,FoodDemand_Staples,1990,0.0240001
2005$/Mcal/day,Middle East,FoodDemand,FoodDemand_NonStaples,1990,0.545467
2005$/Mcal/day,Middle East,FoodDemand,FoodDemand_Staples,1990,0.064584
2005$/Mcal/day,Moldova,FoodDemand,FoodDemand_NonStaples,1990,0.235173
2005$/Mcal/day,Moldova,FoodDemand,FoodDemand_Staples,1990,0.0406208
2005$/Mcal/day,Netherlands,FoodDemand,FoodDemand_NonStaples,1990,0.255735
2005$/Mcal/day,Netherlands,FoodDemand,FoodDemand_Staples,1990,0.041605
2005$/Mcal/day,Norway,FoodDemand,FoodDemand_NonStaples,1990,0.361092
2005$/Mcal/day,Norway,FoodDemand,FoodDemand_Staples,1990,0.0345397
2005$/Mcal/day,Pakistan,FoodDemand,FoodDemand_NonStaples,1990,0.167182
2005$/Mcal/day,Pakistan,FoodDemand,FoodDemand_Staples,1990,0.0315996
2005$/Mcal/day,Poland,FoodDemand,FoodDemand_NonStaples,1990,0.242645
2005$/Mcal/day,Poland,FoodDemand,FoodDemand_Staples,1990,0.0383446
2005$/Mcal/day,Portugal,FoodDemand,FoodDemand_NonStaples,1990,0.411213
2005$/Mcal/day,Portugal,FoodDemand,FoodDemand_Staples,1990,0.0435683
2005$/Mcal/day,Romania,FoodDemand,FoodDemand_NonStaples,1990,0.306904
2005$/Mcal/day,Romania,FoodDemand,FoodDemand_Staples,1990,0.0285967
2005$/Mcal/day,Russia,FoodDemand,FoodDemand_NonStaples,1990,0.31068
2005$/Mcal/day,Russia,FoodDemand,FoodDemand_Staples,1990,0.0252533
2005$/Mcal/day,Serbia and Montenegro,FoodDemand,FoodDemand_NonStaples,1990,0.238328
2005$/Mcal/day,Serbia and Montenegro,FoodDemand,FoodDemand_Staples,1990,0.0219165
2005$/Mcal/day,Slovakia,FoodDemand,FoodDemand_NonStaples,1990,0.161287
2005$/Mcal/day,Slovakia,FoodDemand,FoodDemand_Staples,1990,0.0339305
2005$/Mcal/day,Slovenia,FoodDemand,FoodDemand_NonStaples,1990,0.234616
2005$/Mcal/day,Slovenia,FoodDemand,FoodDemand_Staples,1990,0.0269117
2005$/Mcal/day,South Africa,FoodDemand,FoodDemand_NonStaples,1990,0.30791
2005$/Mcal/day,South Africa,FoodDemand,FoodDemand_Staples,1990,0.023104
2005$/Mcal/day,South America_Northern,FoodDemand,FoodDemand_NonStaples,1990,0.564776
2005$/Mcal/day,South America_Northern,FoodDemand,FoodDemand_Staples,1990,0.0594567
2005$/Mcal/day,South America_Southern,FoodDemand,FoodDemand_NonStaples,1990,0.331205
2005$/Mcal/day,South America_Southern,FoodDemand,FoodDemand_Staples,1990,0.0364039
2005$/Mcal/day,South Asia,FoodDemand,FoodDemand_NonStaples,1990,0.219424
2005$/Mcal/day,South Asia,FoodDemand,FoodDemand_Staples,1990,0.0297118
2005$/Mcal/day,South Korea,FoodDemand,FoodDemand_NonStaples,1990,1.25338
2005$/Mcal/day,South Korea,FoodDemand,FoodDemand_Staples,1990,0.155356
2005$/Mcal/day,Southeast Asia,FoodDemand,FoodDemand_NonStaples,1990,0.319331
2005$/Mcal/day,Southeast Asia,FoodDemand,FoodDemand_Staples,1990,0.035359
2005$/Mcal/day,Spain,FoodDemand,FoodDemand_NonStaples,1990,0.302876
2005$/Mcal/day,Spain,FoodDemand,FoodDemand_Staples,1990,0.0400279
2005$/Mcal/day,Sweden,FoodDemand,FoodDemand_NonStaples,1990,0.259989
2005$/Mcal/day,Sweden,FoodDemand,FoodDemand_Staples,1990,0.0442145
2005$/Mcal/day,Switzerland,FoodDemand,FoodDemand_NonStaples,1990,0.351489
2005$/Mcal/day,Switzerland,FoodDemand,FoodDemand_Staples,1990,0.0509838
2005$/Mcal/day,Taiwan,FoodDemand,FoodDemand_NonStaples,1990,0.371554
2005$/Mcal/day,Taiwan,FoodDemand,FoodDemand_Staples,1990,0.038269
2005$/Mcal/day,Turkey,FoodDemand,FoodDemand_NonStaples,1990,0.207151
2005$/Mcal/day,Turkey,FoodDemand,FoodDemand_Staples,1990,0.0254062
2005$/Mcal/day,UK,FoodDemand,FoodDemand_NonStaples,1990,0.269718
2005$/Mcal/day,UK,FoodDemand,FoodDemand_Staples,1990,0.0396384
2005$/Mcal/day,USA,FoodDemand,FoodDemand_NonStaples,1990,0.281985
2005$/Mcal/day,USA,FoodDemand,FoodDemand_Staples,1990,0.0287804
2005$/Mcal/day,Ukraine,FoodDemand,FoodDemand_NonStaples,1990,0.195123
2005$/Mcal/day,Ukraine,FoodDemand,FoodDemand_Staples,1990,0.0285704
2005$/Mcal/day,Africa_Eastern,FoodDemand,FoodDemand_NonStaples,2005,0.341861
2005$/Mcal/day,Africa_Eastern,FoodDemand,FoodDemand_Staples,2005,0.0419013
2005$/Mcal/day,Africa_Northern,FoodDemand,FoodDemand_NonStaples,2005,0.352163
2005$/Mcal/day,Africa_Northern,FoodDemand,FoodDemand_Staples,2005,0.0340326
2005$/Mcal/day,Africa_Southern,FoodDemand,FoodDemand_NonStaples,2005,0.316722
2005$/Mcal/day,Africa_Southern,FoodDemand,FoodDemand_Staples,2005,0.0547545
2005$/Mcal/day,Africa_Western,FoodDemand,FoodDemand_NonStaples,2005,0.260021
2005$/Mcal/day,Africa_Western,FoodDemand,FoodDemand_Staples,2005,0.0514267
2005$/Mcal/day,Albania,FoodDemand,FoodDemand_NonStaples,2005,0.300456
2005$/Mcal/day,Albania,FoodDemand,FoodDemand_Staples,2005,0.0241913
2005$/Mcal/day,Argentina,FoodDemand,FoodDemand_NonStaples,2005,0.625612
2005$/Mcal/day,Argentina,FoodDemand,FoodDemand_Staples,2005,0.0905859
2005$/Mcal/day,Australia_NZ,FoodDemand,FoodDemand_NonStaples,2005,0.350122
2005$/Mcal/day,Australia_NZ,FoodDemand,FoodDemand_Staples,2005,0.0376104
2005$/Mcal/day,Austria,FoodDemand,FoodDemand_NonStaples,2005,0.211928
2005$/Mcal/day,Austria,FoodDemand,FoodDemand_Staples,2005,0.0365829
2005$/Mcal/day,Belarus,FoodDemand,FoodDemand_NonStaples,2005,0.257072
2005$/Mcal/day,Belarus,FoodDemand,FoodDemand_Staples,2005,0.0414726
2005$/Mcal/day,Belgium,FoodDemand,FoodDemand_NonStaples,2005,0.226385
2005$/Mcal/day,Belgium,FoodDemand,FoodDemand_Staples,2005,0.0466541
2005$/Mcal/day,Bosnia and Herzegovina,FoodDemand,FoodDemand_NonStaples,2005,0.19676
2005$/Mcal/day,Bosnia and Herzegovina,FoodDemand,FoodDemand_Staples,2005,0.0283143
2005$/Mcal/day,Brazil,FoodDemand,FoodDemand_NonStaples,2005,0.15
2005$/Mcal/day,Brazil,FoodDemand,FoodDemand_Staples,2005,0.0254989
2005$/Mcal/day,Bulgaria,FoodDemand,FoodDemand_NonStaples,2005,0.226937
2005$/Mcal/day,Bulgaria,FoodDemand,FoodDemand_Staples,2005,0.0273342
2005$/Mcal/day,Canada,FoodDemand,FoodDemand_NonStaples,2005,0.263121
2005$/Mcal/day,Canada,FoodDemand,FoodDemand_Staples,2005,0.0324538
2005$/Mcal/day,Central America and Caribbean,FoodDemand,FoodDemand_NonStaples,2005,0.229963
2005$/Mcal/day,Central America and Caribbean,FoodDemand,FoodDemand_Staples,2005,0.0397645
2005$/Mcal/day,Central Asia,FoodDemand,FoodDemand_NonStaples,2005,0.249419
2005$/Mcal/day,Central Asia,FoodDemand,FoodDemand_Staples,2005,0.0261397
2005$/Mcal/day,China,FoodDemand,FoodDemand_NonStaples,2005,0.556258
2005$/Mcal/day,China,FoodDemand,FoodDemand_Staples,2005,0.0538246
2005$/Mcal/day,Colombia,FoodDemand,FoodDemand_NonStaples,2005,0.304524
2005$/Mcal/day,Colombia,FoodDemand,FoodDemand_Staples,2005,0.0583747
2005$/Mcal/day,Croatia,FoodDemand,FoodDemand_NonStaples,2005,0.293763
2005$/Mcal/day,Croatia,FoodDemand,FoodDemand_Staples,2005,0.0322002
2005$/Mcal/day,Cyprus,FoodDemand,FoodDemand_NonStaples,2005,0.285021
2005$/Mcal/day,Cyprus,FoodDemand,FoodDemand_Staples,2005,0.0319413
2005$/Mcal/day,Czech Republic,FoodDemand,FoodDemand_NonStaples,2005,0.17621
2005$/Mcal/day,Czech Republic,FoodDemand,FoodDemand_Staples,2005,0.0340355
2005$/Mcal/day,Denmark,FoodDemand,FoodDemand_NonStaples,2005,0.219614
2005$/Mcal/day,Denmark,FoodDemand,FoodDemand_Staples,2005,0.0353667
2005$/Mcal/day,Estonia,FoodDemand,FoodDemand_NonStaples,2005,0.234761
2005$/Mcal/day,Estonia,FoodDemand,FoodDemand_Staples,2005,0.0374588
2005$/Mcal/day,Finland,FoodDemand,FoodDemand_NonStaples,2005,0.354151
2005$/Mcal/day,Finland,FoodDemand,FoodDemand_Staples,2005,0.0345311
2005$/Mcal/day,France,FoodDemand,FoodDemand_NonStaples,2005,0.272992
2005$/Mcal/day,France,FoodDemand,FoodDemand_Staples,2005,0.0326202
2005$/Mcal/day,Germany,FoodDemand,FoodDemand_NonStaples,2005,0.218455
2005$/Mcal/day,Germany,FoodDemand,FoodDemand_Staples,2005,0.0324726
2005$/Mcal/day,Greece,FoodDemand,FoodDemand_NonStaples,2005,0.315197
2005$/Mcal/day,Greece,FoodDemand,FoodDemand_Staples,2005,0.0312207
2005$/Mcal/day,Hungary,FoodDemand,FoodDemand_NonStaples,2005,0.224035
2005$/Mcal/day,Hungary,FoodDemand,FoodDemand_Staples,2005,0.0355104
2005$/Mcal/day,Iceland,FoodDemand,FoodDemand_NonStaples,2005,0.395346
2005$/Mcal/day,Iceland,FoodDemand,FoodDemand_Staples,2005,0.0367822
2005$/Mcal/day,India,FoodDemand,FoodDemand_NonStaples,2005,0.133682
2005$/Mcal/day,India,FoodDemand,FoodDemand_Staples,2005,0.0238402
2005$/Mcal/day,Indonesia,FoodDemand,FoodDemand_NonStaples,2005,0.273224
2005$/Mcal/day,Indonesia,FoodDemand,FoodDemand_Staples,2005,0.0379524
2005$/Mcal/day,Ireland,FoodDemand,FoodDemand_NonStaples,2005,0.289866
2005$/Mcal/day,Ireland,FoodDemand,FoodDemand_Staples,2005,0.0373609
2005$/Mcal/day,Italy,FoodDemand,FoodDemand_NonStaples,2005,0.310788
2005$/Mcal/day,Italy,FoodDemand,FoodDemand_Staples,2005,0.02638
2005$/Mcal/day,Japan,FoodDemand,FoodDemand_NonStaples,2005,0.745096
2005$/Mcal/day,Japan,FoodDemand,FoodDemand_Staples,2005,0.129711
2005$/Mcal/day,Latvia,FoodDemand,FoodDemand_NonStaples,2005,0.19931
2005$/Mcal/day,Latvia,FoodDemand,FoodDemand_Staples,2005,0.037518
2005$/Mcal/day,Lithuania,FoodDemand,FoodDemand_NonStaples,2005,0.268876
2005$/Mcal/day,Lithuania,FoodDemand,FoodDemand_Staples,2005,0.0351487
2005$/Mcal/day,Luxembourg,FoodDemand,FoodDemand_NonStaples,2005,0.341281
2005$/Mcal/day,Luxembourg,FoodDemand,FoodDemand_Staples,2005,0.0302461
2005$/Mcal/day,Macedonia,FoodDemand,FoodDemand_NonStaples,2005,0.209155
2005$/Mcal/day,Macedonia,FoodDemand,FoodDemand_Staples,2005,0.0263959
2005$/Mcal/day,Malta,FoodDemand,FoodDemand_NonStaples,2005,0.359824
2005$/Mcal/day,Malta,FoodDemand,FoodDemand_Staples,2005,0.0310924
2005$/Mcal/day,Mexico,FoodDemand,FoodDemand_NonStaples,2005,0.225423
2005$/Mcal/day,Mexico,FoodDemand,FoodDemand_Staples,2005,0.0247409
2005$/Mcal/day,Middle East,FoodDemand,FoodDemand_NonStaples,2005,0.534468
2005$/Mcal/day,Middle East,FoodDemand,FoodDemand_Staples,2005,0.0688093
2005$/Mcal/day,Moldova,FoodDemand,FoodDemand_NonStaples,2005,0.0389084
2005$/Mcal/day,Moldova,FoodDemand,FoodDemand_Staples,2005,0.0286371
2005$/Mcal/day,Netherlands,FoodDemand,FoodDemand_NonStaples,2005,0.25073
2005$/Mcal/day,Netherlands,FoodDemand,FoodDemand_Staples,2005,0.0390123
2005$/Mcal/day,Norway,FoodDemand,FoodDemand_NonStaples,2005,0.362003
