# File: CO2byTech.csv,,,,,,,,,
# Title: CO2 by tech used for GDP intensity policies,,,,,,,,,
# Comments: Heavily filtered; could be even more filtered to just the needed sectors;resource emissions added here with repeat subsector column in tech column,,,,,,,,,
# Units: MTC,,,,,,,,,
# Column types: ccccnnnnnc,,,,,,,,,
# ----------,,,,,,,,,
region,sector,subsector,technology,1990,2005,2010,2015,2021,Units
China,elec_gas (steam/CT),gas (steam/CT),gas (steam/CT) (cooling pond),0.0101622,0.0783228,0.74168,1.12081,2.07148,MTC
China,elec_gas (steam/CT),gas (steam/CT),gas (steam/CT) (dry cooling),0.0117762,0.127532,0.928545,1.34868,2.4888,MTC
China,elec_gas (steam/CT),gas (steam/CT),gas (steam/CT) (once through),0.0252658,0.262241,1.97077,2.87809,5.31223,MTC
China,elec_gas (steam/CT),gas (steam/CT),gas (steam/CT) (recirculating),0.0942191,1.20889,7.78432,11.048,20.3686,MTC
China,elec_gas (steam/CT),gas (steam/CT),gas (steam/CT) (seawater),0.00377709,0.481167,1.12653,1.03249,1.86114,MTC
China,elec_refined liquids (CC),refined liquids (CC),refined liquids (CC) (dry cooling),0,0,0,0,0,MTC
China,elec_refined liquids (CC),refined liquids (CC),refined liquids (CC) (once through),0,0,0,0,0,MTC
China,elec_refined liquids (CC),refined liquids (CC),refined liquids (CC) (recirculating),0,0,0,0,0,MTC
China,elec_refined liquids (CC),refined liquids (CC),refined liquids (CC) (seawater),0,0,0,0,0,MTC
China,elec_refined liquids (steam/CT),refined liquids (steam/CT),refined liquids (steam/CT) (cooling pond),0.709166,0.712824,0.210505,0.137128,0.161898,MTC
China,elec_refined liquids (steam/CT),refined liquids (steam/CT),refined liquids (steam/CT) (dry cooling),0.825753,0.827599,0.245142,0.161184,0.189596,MTC
China,elec_refined liquids (steam/CT),refined liquids (steam/CT),refined liquids (steam/CT) (once through),1.77037,1.77507,0.525568,0.34511,0.406153,MTC
China,elec_refined liquids (steam/CT),refined liquids (steam/CT),refined liquids (steam/CT) (recirculating),6.62817,6.63071,1.96791,1.30155,1.52742,MTC
China,elec_refined liquids (steam/CT),refined liquids (steam/CT),refined liquids (steam/CT) (seawater),0.314141,0.286153,0.0936553,0.0793722,0.0850773,MTC
China,gas pipeline,gas pipeline,gas pipeline,0.18427,0.517729,1.01466,1.27797,1.61918,MTC
China,gas processing,biomass gasification,biomass gasification,0,2.40946,4.92723,5.24574,5.10884,MTC
China,gas processing,coal gasification,coal gasification,1.71475,5.28583,4.2191,6.74564,21.9302,MTC
China,iron and steel,BLASTFUR,BLASTFUR,54.5239,213.271,366.894,449.958,416.595,MTC
China,iron and steel,BLASTFUR,BLASTFUR with hydrogen,0,0,0,0,0,MTC
China,iron and steel,BLASTFUR,Biomass-based,0,0,0,0,0,MTC
China,iron and steel,EAF with DRI,EAF with DRI,0,0,0.495744,0.139243,1.74719,MTC
China,iron and steel,EAF with scrap,EAF with scrap,0.428268,2.11415,1.80068,2.17736,5.17723,MTC
China,mining energy use,mobile,refined liquids,0.41876,0.756133,1.17726,1.8836,1.67755,MTC
China,mining energy use,stationary,coal,4.186,6.6864,11.806,8.05773,6.28985,MTC
China,mining energy use,stationary,gas,0.0350697,0.224688,0.177729,0.528432,1.03071,MTC
China,mining energy use,stationary,refined liquids,0.104689,0.189032,0.294314,0.4709,0.419387,MTC
China,other industrial energy use,biomass,biomass cogen,1.98E-04,2.30E-04,6.44E-05,0.0073278,0.0135378,MTC
China,other industrial energy use,coal,coal,100.264,177.049,210.274,159.636,67.6274,MTC
China,other industrial energy use,gas,gas,0.962942,3.22536,16.1104,15.4385,42.0338,MTC
China,other industrial energy use,gas,gas cogen,0,0,0.00797472,0.00879264,0.0181987,MTC
China,other industrial energy use,refined liquids,refined liquids,16.0775,30.687,27.3649,19.561,37.8657,MTC
China,other industrial feedstocks,coal,coal,15.1783,12.5423,18.5664,39.9923,42.1602,MTC
China,process heat cement,coal,coal,24.5799,96.467,152.876,152.876,152.876,MTC
China,process heat cement,refined liquids,refined liquids,1.12641,4.42074,7.00577,7.00577,7.00577,MTC
China,process heat food processing,coal,coal,17.2716,26.9958,35.0198,27.1361,9.62009,MTC
China,process heat food processing,coal,coal cogen,0,0,0,0,0,MTC
China,process heat food processing,gas,gas,0.0160475,0.118882,0.291871,1.14656,3.93211,MTC
China,process heat food processing,gas,gas cogen,0,0,0,0,0,MTC
China,process heat food processing,gas,gas with solar,0,0,0,0,0,MTC
