# File: OutputsByTech.csv,,,,,,,,,,
# Title: Outputs by tech used for GDP intensity policies,,,,,,,,,,
# Comments: Heavily filtered; could be even more filtered to just the needed sectors,,,,,,,,,,
# Updated August 17th with IAMCOMPACT reference scenario,,,,,,,,,,
# Units: EJ,,,,,,,,,,
# Column types: cccccnnnnnc,,,,,,,,,,
# ----------,,,,,,,,,,
region,sector,subsector,output,technology,1990,2005,2010,2015,2021,Units
Australia_NZ,comm others,gas,N/A,gas,0.00846381,0.0114991,0.0121981,0.0145116,0.0115398,EJ
Australia_NZ,comm others,gas,N/A,hydrogen,0,0,0.00E+00,0.00E+00,0,EJ
Australia_NZ,comm others,gas,comm others,gas,9.52E-03,0.0133711,1.44E-02,0.0173376,0.0139877,EJ
Australia_NZ,comm others,gas,comm others,hydrogen,0.00E+00,0,0,0,0,EJ
Australia_NZ,comm others,refined liquids,comm others,refined liquids,0.00887118,0.0137165,0.0161714,0.01999,0.02066,EJ
China,comm others,biomass,N/A,biomass,2.32E-04,1.06E-04,6.39E-05,1.47E-04,1.25E-04,EJ
China,comm others,biomass,comm others,biomass,1.01E-04,4.91E-05,3.08E-05,7.35E-05,6.48E-05,EJ
China,comm others,coal,N/A,coal,0.149752,0.217029,0.250749,0.295889,0.132137,EJ
China,comm others,coal,comm others,coal,0.0873698,0.133968,0.160839,0.196866,0.0916349,EJ
China,comm others,district heat,N/A,district heat,8.56E-04,0.00444174,0.00773815,0.0126739,0.0222758,EJ
China,comm others,district heat,comm others,district heat,0.00113585,0.006135,0.0110545,0.018693,0.0340089,EJ
China,comm others,electricity,comm others,electricity,0.0585637,0.381976,0.716796,1.26368,2.89586,EJ
China,comm others,gas,N/A,gas,0.00227809,0.0195003,0.0287871,0.0476978,0.0656935,EJ
China,comm others,gas,N/A,hydrogen,0,0,0,0,0,EJ
China,comm others,gas,comm others,gas,0.00197408,1.81E-02,2.80E-02,4.83E-02,0.0697383,EJ
China,comm others,gas,comm others,hydrogen,0,0.00E+00,0.00E+00,0.00E+00,0,EJ
China,comm others,refined liquids,comm others,refined liquids,0.0294512,0.065117,0.0924335,0.11335,0.124471,EJ
Russia,comm others,biomass,N/A,biomass,0.00179381,0.00129326,0.00176206,0.00195891,0.00251553,EJ
Russia,comm others,biomass,comm others,biomass,8.18E-04,6.13E-04,8.56E-04,9.74E-04,0.0012854,EJ
Russia,comm others,coal,N/A,coal,0.580227,0.0571394,0.0517445,0.0289812,0.0148194,EJ
Russia,comm others,coal,comm others,coal,0.352721,0.0361185,0.0335133,0.0192183,0.010095,EJ
Russia,comm others,district heat,N/A,district heat,0.199549,0.0300232,0.0256423,0.029078,0.0355844,EJ
Russia,comm others,district heat,comm others,district heat,0.275621,0.0424657,0.0370019,0.042699,0.05343,EJ
Russia,comm others,electricity,comm others,electricity,0.138477,0.267454,0.432732,0.404799,0.453682,EJ
Russia,comm others,gas,N/A,gas,0.0204581,8.31E-03,6.32E-03,4.52E-03,0.0250454,EJ
Russia,comm others,gas,N/A,hydrogen,0,0,0,0,0,EJ
Russia,comm others,gas,comm others,gas,0.018464,0.00792602,6.20E-03,4.57E-03,0.0261435,EJ
Russia,comm others,gas,comm others,hydrogen,0,0,0,0,0,EJ
Russia,comm others,refined liquids,comm others,refined liquids,0.0988559,0.0173845,0.0341706,0.0507238,0.031782,EJ
Australia_NZ,construction,construction,construction,construction,0.070483,0.0677214,0.0746627,0.0641813,0.0506181,EJ
China,construction,construction,construction,construction,0.27001,0.649493,1.20707,1.67656,2.24994,EJ
Russia,construction,construction,construction,construction,0.520216,0.31357,0.323306,0.442563,0.550327,EJ
Australia_NZ,construction energy use,mobile,construction energy use,electricity,0,0,0,0,0,EJ
Australia_NZ,construction energy use,mobile,construction energy use,hydrogen,0,0,0,0,0,EJ
Australia_NZ,construction energy use,mobile,construction energy use,refined liquids,0.0309463,0.0208861,0.0190608,0.0186245,0.0260122,EJ
Australia_NZ,construction energy use,stationary,construction energy use,coal,0,0,7.13E-05,7.18E-05,0,EJ
Australia_NZ,construction energy use,stationary,construction energy use,electricity,4.01E-04,0.00110647,0.00808973,0.00921858,0.00925111,EJ
Australia_NZ,construction energy use,stationary,construction energy use,gas,2.13E-04,0.00249839,0.0024064,0.0026432,0.00240528,EJ
Australia_NZ,construction energy use,stationary,construction energy use,hydrogen,0,0,0,0,0,EJ
Australia_NZ,construction energy use,stationary,construction energy use,refined liquids,0.00773655,0.00522151,0.00476517,0.00465612,0.0065031,EJ
China,construction energy use,mobile,construction energy use,electricity,0,0,0,0,0,EJ
China,construction energy use,mobile,construction energy use,hydrogen,0,0,0,0,0,EJ
China,construction energy use,mobile,construction energy use,refined liquids,0.0585173,0.133909,0.195698,0.236378,0.226393,EJ
