# File: policy_tech_mappings.csv,,,
# Title: Policy technology mapping,,,
# Units: NA,,,
# Column types: cccc,,,
# ----------,,,
tech_mapping,supplysector,subsector,stub.technology
ELEC_RENEWABLE,elect_td_bld,rooftop_pv,rooftop_pv
ELEC_RENEWABLE,electricity,solar,CSP
ELEC_RENEWABLE,electricity,solar,CSP_storage
ELEC_RENEWABLE,electricity,solar,PV
ELEC_RENEWABLE,electricity,solar,PV_storage
ELEC_RENEWABLE,electricity,wind,wind
ELEC_RENEWABLE,electricity,wind,wind_offshore
ELEC_RENEWABLE,electricity,wind,wind_storage
ELEC_RENEWABLE,electricity,geothermal,geothermal
ELEC_RENEWABLE,electricity,hydro,hydro
EN_CARRIER_ELEC,electricity,hydro,hydro
EN_CARRIER_ELEC,electricity,wind,wind
EN_CARRIER_ELEC,electricity,wind,wind_offshore
EN_CARRIER_ELEC,electricity,wind,wind_storage
EN_CARRIER_ELEC,electricity,solar,PV
EN_CARRIER_ELEC,electricity,solar,PV_storage
EN_CARRIER_ELEC,elec_geothermal,geothermal,geothermal (recirculating)
EN_CARRIER_ELEC,elec_geothermal,geothermal,geothermal (dry_hybrid)
EN_CARRIER_ELEC,elec_CSP,CSP,CSP (recirculating)
EN_CARRIER_ELEC,elec_CSP,CSP,CSP (dry_hybrid)
EN_CARRIER_ELEC,elec_CSP_storage,CSP_storage,CSP_storage (recirculating)
EN_CARRIER_ELEC,elec_CSP_storage,CSP_storage,CSP_storage (dry_hybrid)
EN_CARRIER_ELEC,elec_biomass (conv),biomass (conv),biomass (conv) (once through)
EN_CARRIER_ELEC,elec_biomass (conv),biomass (conv),biomass (conv) (seawater)
EN_CARRIER_ELEC,elec_biomass (conv),biomass (conv),biomass (conv) (recirculating)
EN_CARRIER_ELEC,elec_biomass (conv),biomass (conv),biomass (conv) (cooling pond)
EN_CARRIER_ELEC,elec_biomass (conv),biomass (conv),biomass (conv) (dry cooling)
EN_CARRIER_ELEC,elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (once through)
EN_CARRIER_ELEC,elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (seawater)
EN_CARRIER_ELEC,elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (recirculating)
EN_CARRIER_ELEC,elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (dry cooling)
EN_CARRIER_ELEC,elec_biomass (conv CCS),biomass (conv CCS),biomass (conv CCS) (once through)
EN_CARRIER_ELEC,elec_biomass (conv CCS),biomass (conv CCS),biomass (conv CCS) (seawater)
EN_CARRIER_ELEC,elec_biomass (conv CCS),biomass (conv CCS),biomass (conv CCS) (recirculating)
EN_CARRIER_ELEC,elec_biomass (conv CCS),biomass (conv CCS),biomass (conv CCS) (dry cooling)
EN_CARRIER_ELEC,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (once through)
EN_CARRIER_ELEC,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (seawater)
