# File: estat_nrg_ti_oil.csv
# Title: Eurostat Oil Imports
# Units: in file (THS_T = thousand tonnes)
# Source: https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/nrg_ti_oil?format=TSV&compressed=true
# Comments: some slight preprocessing to filter to crude oil and add in country names
# Column types: cccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnncc 
# ----------
freq,siec,code_exporter,unit,code_importer,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,import_ctry,export_ctry
A,O4100_TOT,AD,THS_T,HR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Croatia,Andorra
A,O4100_TOT,AD,THS_T,HU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hungary,Andorra
A,O4100_TOT,AD,THS_T,IE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ireland,Andorra
A,O4100_TOT,AD,THS_T,IS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Iceland,Andorra
A,O4100_TOT,AD,THS_T,IT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Italy,Andorra
A,O4100_TOT,AD,THS_T,LI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,Liechtenstein,Andorra
A,O4100_TOT,AD,THS_T,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lithuania,Andorra
A,O4100_TOT,AD,THS_T,LU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luxembourg,Andorra
A,O4100_TOT,AD,THS_T,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Latvia,Andorra
A,O4100_TOT,AD,THS_T,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,Moldova (the Republic of),Andorra
A,O4100_TOT,AD,THS_T,ME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Montenegro,Andorra
A,O4100_TOT,AD,THS_T,MK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Macedonia,Andorra
A,O4100_TOT,AD,THS_T,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malta,Andorra
A,O4100_TOT,AD,THS_T,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Netherlands (the),Andorra
A,O4100_TOT,AD,THS_T,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Norway,Andorra
A,O4100_TOT,AD,THS_T,PL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Poland,Andorra
A,O4100_TOT,AD,THS_T,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Portugal,Andorra
A,O4100_TOT,AD,THS_T,RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Romania,Andorra
A,O4100_TOT,AD,THS_T,RS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Serbia,Andorra
A,O4100_TOT,AD,THS_T,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sweden,Andorra
A,O4100_TOT,AD,THS_T,SI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slovenia,Andorra
A,O4100_TOT,AD,THS_T,SK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slovakia,Andorra
A,O4100_TOT,AD,THS_T,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Turkey,Andorra
A,O4100_TOT,AD,THS_T,UA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,Ukraine,Andorra
A,O4100_TOT,AD,THS_T,UK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,United Kingdom,Andorra
A,O4100_TOT,AD,THS_T,RS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Serbia,Andorra
A,O4100_TOT,AE,THS_T,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albania,United Arab Emirates (the)
A,O4100_TOT,AE,THS_T,AT,0,0,140,28,0,102,116,181,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Austria,United Arab Emirates (the)
A,O4100_TOT,AE,THS_T,BA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,Bosnia and Herzegovina,United Arab Emirates (the)
A,O4100_TOT,AE,THS_T,BE,1291,1504,1457,779,880,217,0,0,0,0,0,50,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,644.6,Belgium,United Arab Emirates (the)
A,O4100_TOT,AE,THS_T,BG,0,0,0,0,0,0,0,0,0,0,0,0,0,68,70,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,Bulgaria,United Arab Emirates (the)
A,O4100_TOT,AE,THS_T,CY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cyprus,United Arab Emirates (the)
A,O4100_TOT,AE,THS_T,CZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Czechia,United Arab Emirates (the)
A,O4100_TOT,AE,THS_T,DE,744,530,63,0,31,0,0,48,2,0,0,0,0,0,0,0,0,65,0,0,0,354,0,31,0,9,0,0,0,0,0,0,742,Germany,United Arab Emirates (the)
A,O4100_TOT,AE,THS_T,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denmark,United Arab Emirates (the)
A,O4100_TOT,AE,THS_T,EE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Estonia,United Arab Emirates (the)
A,O4100_TOT,AE,THS_T,EL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,87,0,0,0,0,0,0,0,84.993,0,0,0,Greece,United Arab Emirates (the)
A,O4100_TOT,AE,THS_T,ES,1369,1472,917,81,0,0,80,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,312.458,Spain,United Arab Emirates (the)
A,O4100_TOT,AE,THS_T,FI,82,273,123,96,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Finland,United Arab Emirates (the)
A,O4100_TOT,AE,THS_T,FR,1929,2966,1575,1187,163,0,5,0,557,0,6,255,0,0,0,121,1373,1034,483,260,125,331,0,141,339,540,338,276,0,0,0,0,699,France,United Arab Emirates (the)
A,O4100_TOT,AE,THS_T,GE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,Georgia,United Arab Emirates (the)
A,O4100_TOT,AE,THS_T,HR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Croatia,United Arab Emirates (the)
A,O4100_TOT,AE,THS_T,HU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hungary,United Arab Emirates (the)
A,O4100_TOT,AE,THS_T,IE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ireland,United Arab Emirates (the)
A,O4100_TOT,AE,THS_T,IS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Iceland,United Arab Emirates (the)
A,O4100_TOT,AE,THS_T,IT,2099,1625,0,0,130,15,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,Italy,United Arab Emirates (the)
A,O4100_TOT,AE,THS_T,LI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,Liechtenstein,United Arab Emirates (the)
A,O4100_TOT,AE,THS_T,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lithuania,United Arab Emirates (the)
A,O4100_TOT,AE,THS_T,LU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luxembourg,United Arab Emirates (the)
