# File: estat_nrg_ti_gas.csv
# Title: Eurostat Gas Imports
# Units: in file (TJ_GCV = tj high heat value)
# Source: https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/nrg_ti_gas?format=TSV&compressed=true
# Comments: some slight preprocessing to add in country names
# Column types: cccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnncc 
# ----------
freq,siec,code_exporter,unit,code_importer,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,import_ctry,export_ctry
A,G3000,AZ,TJ_GCV,BG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739.609,10475.857,21539.41,Bulgaria,Azerbaijan
A,G3000,AZ,TJ_GCV,EL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.754,49072.381,45392.215,Greece,Azerbaijan
A,G3000,AZ,TJ_GCV,IT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.807,274854.391,393382.919,Italy,Azerbaijan
A,G3000,AZ,TJ_GCV,LI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,27.049,Liechtenstein,Azerbaijan
A,G3000,AZ,TJ_GCV,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48181,175549,189980,173178,145790,128485,162580,232616,236285,248204,250678,288321,367040,442333.75,337856.57,333435.4,Turkey,Azerbaijan
A,G3000,BE,TJ_GCV,DE,0,0,0,0,0,0,7385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany,Belgium
A,G3000,BE,TJ_GCV,EL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1679,0,0,0,0,0,0,0,0,0,0,Greece,Belgium
A,G3000,BE,TJ_GCV,ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7087,3143,3153,7358,25336,7826,4659,0,0,0,3227,3776,2033,6.341,107.519,Spain,Belgium
A,G3000,BE,TJ_GCV,FR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23848.574,55963.201,79028.183,114793.235,96364.289,73880.633,66365.429,35562.343,43623.091,25684.436,17465.502,3175.272,France,Belgium
A,G3000,BE,TJ_GCV,HR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3191.65,62.638,Croatia,Belgium
A,G3000,BE,TJ_GCV,IT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5867,0,0,0,0,0,0,0,3096.997,0,0,Italy,Belgium
A,G3000,BE,TJ_GCV,LU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5984,5696,6417,6902,5955,6063,0,0,0,0,485.798,2498.31,10504.792,5446.966,3512.853,5739.148,Luxembourg,Belgium
A,G3000,BE,TJ_GCV,NL,0,0,0,0,0,0,0,0,0,26871,45308,41674,61044,74113,44041,0,0,0,0,0,0,0,0,0,0,0,0,4969.652,25909.856,67791.291,59200.749,50967.392,67750.922,Netherlands (the),Belgium
A,G3000,BE,TJ_GCV,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,105.796,276.107,0,388.367,145.385,Norway,Belgium
A,G3000,BE,TJ_GCV,PL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,266,109,263,96.729,0,0,0,14.842,101.934,Poland,Belgium
A,G3000,BE,TJ_GCV,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1717,3609,3269.821,0,108.139,469.237,Sweden,Belgium
A,G3000,BE,TJ_GCV,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3164,3294,0,0,0,0,0,0,Turkey,Belgium
